,awemud.csv,tzod.csv,freebios.csv,k3b.csv,quarkplusplus.csv,powerfolder.csv,loki-lib.csv
awemud.csv,0.38,0.43,0.78,0.43,0.46,0.4,0.56
freebios.csv,0.71,0.53,0.64,0.81,0.64,0.62,0.56
k3b.csv,0.36,0.33,0.59,0.4,0.48,0.49,0.39
loki-lib.csv,0.36,0.36,0.43,0.42,0.4,0.58,0.43
powerfolder.csv,0.39,0.65,0.88,0.42,0.45,0.94,0.73
quarkplusplus.csv,0.67,0.78,0.8,0.61,0.54,0.61,0.82
tzod.csv,0.72,0.5,0.66,0.51,0.55,0.86,0.69
