,awemud.csv,tzod.csv,freebios.csv,k3b.csv,quarkplusplus.csv,powerfolder.csv,loki-lib.csv
awemud.csv,4.0,4.0,2.0,0.0,0.0,46.0,0.0
freebios.csv,1.0,1.0,0.0,0.0,3.0,125.0,3.0
k3b.csv,1.0,8.0,0.0,0.0,4.0,52.0,1.0
loki-lib.csv,1.0,3.0,0.0,2.0,1.0,13.0,0.0
powerfolder.csv,3.0,2.0,5.0,0.0,1.0,3.0,2.0
quarkplusplus.csv,1.0,2.0,0.0,0.0,0.0,21.0,2.0
tzod.csv,2.0,3.0,0.0,0.0,3.0,18.0,6.0
