,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.81,0.11,0.26,0.14
azureus.csv,0.47,0.19,0.57,0.1
mycila.csv,0.47,0.44,0.3,0.13
octet.csv,0.45,0.17,0.29,0.28
