,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.79,0.17,0.38,0.23
azureus.csv,0.56,0.28,0.66,0.18
mycila.csv,0.64,0.57,0.43,0.22
octet.csv,0.55,0.21,0.4,0.4
