,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.28,0.99,0.76,0.64
azureus.csv,0.76,0.71,0.3,0.91
mycila.csv,1.0,0.31,0.65,0.71
octet.csv,0.79,0.79,0.65,0.38
