,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,0.0,0.68,0.5,0.73,0.23,0.32,0.34,0.81,0.34,0.46,0.36,0.07,0.12,0.49,0.87,1.0,0.1,0.36
autofac.csv,0.5,0.78,0.06,0.15,0.19,0.39,0.34,0.73,0.09,0.5,0.76,0.55,0.36,0.41,0.04,0.51,0.2,0.33
azureus.csv,1.0,1.0,0.5,0.97,0.5,0.93,1.0,1.0,0.69,1.0,0.86,0.19,0.52,1.0,1.0,0.71,0.8,0.94
dsworkbench.csv,0.0,0.32,0.12,0.12,0.0,0.07,0.0,0.16,0.16,0.08,0.02,0.2,0.44,0.02,0.04,0.02,0.1,0.08
forester-atv.csv,1.0,0.28,0.75,0.18,0.06,0.14,0.22,0.06,0.62,0.16,0.31,0.86,1.0,0.04,0.02,0.07,0.4,0.08
freelords.csv,1.0,0.57,0.5,0.7,0.5,0.43,0.29,0.4,0.75,0.63,0.43,0.89,0.68,0.22,0.59,0.49,0.7,0.33
gabel.csv,0.0,0.35,0.62,0.09,0.12,0.11,0.24,0.51,0.09,0.28,0.36,0.11,0.12,0.2,0.07,0.22,0.1,0.08
gephex.csv,0.0,0.6,1.0,0.94,0.88,0.5,0.63,0.79,0.41,0.77,0.52,0.35,0.48,0.9,0.87,0.32,0.5,0.64
google-collections.csv,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.96,0.92,1.0,1.0,1.0,1.0,0.97
javaprofiler.csv,0.0,0.88,0.75,0.42,0.5,0.29,0.66,0.89,0.31,0.74,0.95,0.7,0.24,0.53,0.13,0.56,0.6,0.17
jpaul.csv,0.5,0.45,0.88,0.18,0.0,0.25,0.27,0.36,0.38,0.27,0.69,0.61,0.52,0.24,0.15,0.0,0.1,0.17
mycila.csv,1.0,0.28,1.0,0.94,1.0,0.64,0.73,0.5,0.97,0.85,0.19,0.44,0.68,0.73,0.74,0.9,0.7,0.69
neodatis-odb.csv,1.0,0.62,0.0,0.45,0.12,0.11,0.78,0.24,0.12,0.52,0.07,0.16,0.28,0.49,0.07,0.44,0.5,0.19
octet.csv,0.0,0.45,0.38,0.55,0.06,0.18,0.44,0.23,0.09,0.3,0.36,0.29,0.48,0.22,0.04,0.46,0.5,0.33
personalaccess.csv,0.0,0.3,0.31,0.27,0.12,0.11,0.41,0.4,0.47,0.46,0.6,0.59,0.24,0.18,0.04,0.41,0.1,0.42
rcp-company-uibindings.csv,0.0,0.62,0.62,0.33,0.44,0.43,0.34,0.7,0.31,0.33,0.36,0.36,0.2,0.39,0.3,0.56,0.0,0.14
scenemonitor.csv,0.0,0.5,0.44,0.24,0.08,0.32,0.12,0.13,0.22,0.17,0.21,0.51,0.4,0.04,0.11,0.07,0.2,0.14
servicestack.csv,0.0,0.28,0.38,0.12,0.0,0.11,0.02,0.2,0.03,0.04,0.21,0.09,0.16,0.04,0.15,0.0,0.0,0.0
