,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.45,0.88,0.0,0.0,0.43,0.64,0.13,0.56,0.65,0.06,0.69,0.0
fityk.csv,0.45,0.96,0.42,0.65,0.29,0.63,0.1,0.59,0.78,0.07,0.47,0.17
hatari.csv,0.64,0.77,0.34,0.66,0.28,0.68,0.15,0.75,0.65,0.05,0.62,0.22
lmms.csv,0.46,0.84,0.44,0.76,0.25,0.69,0.18,0.65,0.69,0.1,0.57,0.24
mecat.csv,0.75,1.0,0.62,0.87,0.31,0.5,0.17,0.0,1.0,0.3,0.0,0.44
nullc.csv,0.51,1.0,0.34,0.76,0.33,0.74,0.06,0.59,0.77,0.08,0.25,0.34
oscarmcmaster.csv,0.56,0.97,0.57,0.69,0.28,0.67,0.2,0.61,0.66,0.09,0.46,0.31
superwaba.csv,0.61,0.91,0.6,0.71,0.29,0.67,0.19,0.7,0.7,0.06,0.38,0.27
tycho.csv,0.6,1.0,0.46,0.79,0.34,0.73,0.17,0.82,0.79,0.05,0.79,0.38
vienna-add-in.csv,0.46,0.8,0.27,0.64,0.26,0.78,0.13,0.63,0.59,0.02,0.33,0.27
voms.csv,0.57,1.0,0.37,0.74,0.32,0.62,0.44,0.6,0.78,0.09,0.38,0.25
wsmt.csv,0.2,0.8,0.47,0.74,0.5,0.66,0.0,1.0,0.0,0.0,0.87,0.2
