,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.6,0.1,0.72,0.2,0.15,0.24,0.38,0.66,0.23,0.22,0.4,0.53,0.46
flylinkdc.csv,0.69,0.44,0.3,0.54,0.48,0.75,0.66,0.25,0.69,0.51,0.36,0.63,0.65
fw4spl.csv,0.46,0.34,0.28,0.63,0.64,0.2,0.49,0.59,0.43,0.44,0.2,0.52,0.55
grisbi.csv,0.47,0.13,0.36,0.57,0.09,0.58,0.84,0.17,0.52,0.55,0.47,0.71,0.55
mesa3d.csv,0.31,0.19,0.3,0.43,0.58,0.71,0.43,0.46,0.71,0.43,0.52,0.55,0.58
nuttx.csv,0.43,0.67,0.06,0.27,0.4,0.67,0.21,0.61,0.61,0.38,0.28,0.23,0.56
panda3d.csv,0.26,0.46,0.5,0.52,0.63,0.67,0.62,0.75,0.62,0.65,0.55,0.36,0.5
proftp.csv,0.35,0.0,0.17,0.52,0.25,0.79,0.55,0.0,0.24,0.46,0.07,0.0,0.47
qmmp.csv,0.64,0.54,0.58,0.43,0.27,0.58,0.71,0.28,0.52,0.43,0.68,0.48,0.43
skia.csv,0.56,0.11,0.35,0.43,0.5,0.7,0.59,0.0,0.6,0.51,0.17,0.46,0.59
tart.csv,0.61,0.17,0.41,0.57,0.6,0.59,0.77,0.3,0.95,0.37,0.55,0.2,0.57
tcvp.csv,0.04,0.0,0.02,0.0,0.05,0.0,0.02,0.78,0.0,0.0,0.0,0.0,0.05
utgb.csv,0.42,0.26,0.36,0.75,0.66,0.37,0.43,0.56,0.43,0.4,0.37,0.51,0.46
