,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.54,0.76,0.79,0.73,0.84,0.55,0.74,0.46,0.51,0.56,0.72,0.88
gamestone.csv,0.88,0.94,0.92,0.75,0.75,0.79,0.61,0.5,0.74,0.88,0.96,0.92
geochat.csv,0.4,0.37,0.68,0.59,0.65,0.34,0.5,0.91,0.42,0.45,0.46,0.85
igarden.csv,0.83,0.73,0.95,0.59,0.98,0.92,0.83,0.5,0.89,0.67,0.77,0.71
ingex.csv,0.64,0.95,0.82,0.87,0.81,0.53,0.94,0.72,0.91,0.62,0.82,0.96
lphant.csv,0.59,0.55,0.57,0.38,0.67,0.41,0.34,0.5,0.43,0.56,0.47,0.6
nabu-library.csv,0.54,0.37,0.64,0.62,0.58,0.37,0.49,0.45,0.56,0.58,0.58,0.54
nebuladevice.csv,0.91,0.83,0.7,0.62,0.84,0.89,0.92,0.93,0.93,0.67,0.63,0.93
owlapi.csv,0.95,0.92,0.92,0.9,0.77,0.88,0.5,0.75,0.91,0.92,0.98,0.93
pi-qmc.csv,0.55,0.58,0.6,0.46,0.49,0.41,0.68,0.38,0.46,0.59,0.45,0.51
trinitycore.csv,0.89,0.84,0.77,0.59,0.72,0.92,0.75,0.89,0.84,0.67,0.81,0.76
twostep.csv,0.52,0.49,0.59,0.45,0.62,0.46,0.5,0.43,0.45,0.81,0.47,0.46
