,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.17,0.26,0.24,0.98,0.38,0.36,0.23,0.43,0.16,0.42,0.32,0.17
gamestone.csv,1.0,0.17,0.28,0.07,0.18,0.56,0.31,0.08,0.32,0.53,0.17,0.19
geochat.csv,0.31,0.45,0.36,0.39,0.51,0.55,0.44,0.24,0.35,0.49,0.38,0.95
igarden.csv,0.0,0.98,0.14,0.35,0.1,0.14,0.19,0.42,0.08,0.16,0.28,0.37
ingex.csv,0.18,0.16,0.16,0.35,0.45,0.95,0.18,0.15,0.22,0.48,0.28,0.11
lphant.csv,0.19,0.38,0.29,0.35,0.44,0.59,0.62,0.95,0.3,0.56,0.34,0.23
nabu-library.csv,0.28,0.44,0.15,0.34,0.99,0.52,0.49,0.48,0.19,0.51,0.31,0.31
nebuladevice.csv,0.11,0.11,0.37,0.34,0.34,0.16,0.21,0.22,0.97,0.08,0.36,0.13
owlapi.csv,0.07,0.23,0.98,0.18,0.24,0.39,0.0,0.15,0.08,0.35,0.25,0.22
pi-qmc.csv,0.29,0.49,0.27,0.5,0.49,0.45,0.53,0.61,0.29,1.0,0.42,0.38
trinitycore.csv,0.12,0.44,0.23,0.39,0.52,0.24,0.07,0.26,0.24,0.0,0.96,0.25
twostep.csv,0.32,0.42,0.38,0.46,0.42,0.5,1.0,0.6,0.22,0.32,0.39,0.37
