,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.35,0.32,0.36,0.97,0.29,0.43,0.29,0.43,0.34,0.59,0.48,0.23
gamestone.csv,1.0,0.16,0.32,0.05,0.13,0.46,0.37,0.06,0.44,0.41,0.16,0.16
geochat.csv,0.71,0.57,0.58,0.52,0.27,0.35,0.3,0.21,0.66,0.64,0.55,0.92
igarden.csv,0.0,0.98,0.15,0.45,0.1,0.12,0.15,0.46,0.09,0.11,0.31,0.5
ingex.csv,0.29,0.16,0.28,0.39,0.37,0.99,0.18,0.16,0.31,0.54,0.31,0.12
lphant.csv,0.48,0.49,0.58,0.48,0.32,0.68,0.69,0.93,0.6,0.68,0.52,0.33
nabu-library.csv,0.61,0.58,0.27,0.47,0.99,0.56,0.58,0.5,0.36,0.64,0.49,0.51
nebuladevice.csv,0.14,0.07,0.41,0.39,0.27,0.12,0.18,0.21,0.94,0.06,0.57,0.12
owlapi.csv,0.14,0.19,0.97,0.16,0.22,0.35,0.0,0.11,0.09,0.31,0.26,0.2
pi-qmc.csv,0.53,0.59,0.53,0.64,0.43,0.53,0.51,0.69,0.53,1.0,0.64,0.54
trinitycore.csv,0.14,0.4,0.49,0.54,0.38,0.2,0.05,0.21,0.31,0.0,0.96,0.36
twostep.csv,0.63,0.51,0.67,0.6,0.32,0.58,1.0,0.62,0.42,0.31,0.56,0.57
