,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.94,0.81,0.73,0.04,0.75,0.87,0.96,0.89,0.91,0.66,0.72,0.88
gamestone.csv,0.0,0.89,0.73,0.96,0.9,0.59,0.84,0.96,0.65,0.64,0.88,0.87
geochat.csv,0.67,0.76,0.53,0.69,0.99,0.9,0.95,0.85,0.59,0.72,0.64,0.1
igarden.csv,1.01,0.03,0.89,0.71,1.1,0.92,0.89,0.73,0.94,0.91,0.76,0.62
ingex.csv,0.78,0.9,0.83,0.71,0.69,0.06,0.9,0.98,0.78,0.55,0.76,0.93
lphant.csv,0.84,0.68,0.64,0.73,1.0,0.67,0.44,0.09,0.67,0.44,0.72,0.8
nabu-library.csv,0.58,0.73,0.85,0.77,0.03,0.77,0.71,0.82,0.82,0.5,0.79,0.78
nebuladevice.csv,0.9,0.94,0.65,0.71,0.78,0.9,0.86,0.87,0.07,0.96,0.71,0.91
owlapi.csv,0.96,0.85,0.04,0.88,1.11,0.71,1.0,0.91,0.94,0.74,0.8,0.84
pi-qmc.csv,0.59,0.54,0.66,0.53,0.64,0.76,0.56,0.56,0.66,0.0,0.6,0.61
trinitycore.csv,0.89,0.65,0.76,0.71,0.93,0.84,0.96,0.83,0.76,1.0,0.05,0.78
twostep.csv,0.51,0.63,0.48,0.59,1.0,0.6,0.0,0.48,0.77,0.75,0.62,0.62
