,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.62,0.29,0.32,0.96,0.25,0.48,0.27,0.59,0.33,0.64,0.47,0.2
gamestone.csv,1.0,0.13,0.28,0.04,0.11,0.41,0.35,0.05,0.4,0.36,0.13,0.13
geochat.csv,1.0,0.77,0.56,0.52,0.65,0.97,0.73,0.18,0.73,0.91,0.56,0.9
igarden.csv,0.0,0.97,0.12,0.43,0.08,0.1,0.12,0.45,0.07,0.09,0.27,0.47
ingex.csv,0.25,0.13,0.24,0.35,0.32,1.0,0.15,0.14,0.27,0.5,0.27,0.1
lphant.csv,0.62,0.48,0.6,0.48,0.52,0.9,0.69,0.91,0.67,0.68,0.55,0.3
nabu-library.csv,0.62,0.71,0.24,0.48,1.0,0.79,0.69,0.68,0.33,0.64,0.55,0.57
nebuladevice.csv,0.12,0.06,0.36,0.35,0.23,0.1,0.15,0.18,0.93,0.05,0.64,0.1
owlapi.csv,0.12,0.16,0.96,0.13,0.24,0.31,0.0,0.09,0.07,0.27,0.22,0.17
pi-qmc.csv,0.5,0.58,0.52,0.65,0.39,0.62,0.46,0.77,0.53,1.0,0.69,0.53
trinitycore.csv,0.12,0.35,0.52,0.57,0.63,0.17,0.04,0.18,0.27,0.0,0.95,0.33
twostep.csv,0.62,0.48,0.68,0.61,0.48,0.59,1.0,0.59,0.4,0.27,0.56,0.57
