,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,jasperreports.csv,bwapi.csv,irplus.csv,nebuladevice.csv,javaprofiler.csv,exl.csv
bwapi.csv,0.8,1.0,0.9,0.94,0.98,0.8,0.83,0.98,1.0,1.14,0.83,0.68,1.0,1.0,0.35,0.93,1.0,1.0,0.93
co-ode-owl-plugins.csv,0.61,0.77,0.44,0.44,0.72,0.56,0.72,0.58,0.76,0.3,0.79,0.89,0.61,0.88,0.94,0.66,0.93,0.53,0.85
exl.csv,0.79,0.97,0.92,0.55,0.55,0.68,0.75,0.87,0.64,0.86,0.58,0.73,0.94,0.69,0.62,0.69,0.5,0.62,0.28
firebreath.csv,0.68,0.51,0.55,0.48,0.46,0.47,0.57,0.4,0.86,0.63,0.61,0.59,0.76,0.39,0.95,0.6,0.88,0.78,0.41
irplus.csv,0.72,0.53,1.01,0.44,0.64,0.57,0.58,0.68,0.59,0.87,0.67,0.5,0.74,0.42,0.91,0.66,0.53,0.7,0.52
jasperreports.csv,0.79,0.64,0.85,0.91,0.79,0.8,0.62,0.83,0.98,1.05,1.02,0.81,0.93,0.14,0.88,0.75,0.66,0.76,0.54
javaprofiler.csv,0.44,0.64,0.57,0.61,0.53,0.72,0.59,0.6,0.73,0.35,0.48,0.81,0.75,0.6,0.85,0.6,0.91,0.44,0.77
konversation.csv,0.84,0.64,0.67,0.27,0.61,0.65,0.6,0.47,0.75,0.9,0.92,0.62,0.48,0.39,0.87,0.54,0.77,0.81,0.64
lazarus-ccr.csv,0.24,0.77,1.0,1.04,0.96,0.81,0.71,0.84,0.69,0.4,0.85,0.67,0.67,0.93,0.81,0.86,0.78,0.93,1.02
linuxsh.csv,0.82,0.69,0.31,0.52,0.89,0.58,0.76,0.82,1.0,0.35,0.75,0.84,0.98,1.0,0.81,0.88,0.93,0.82,0.43
migen.csv,0.76,0.74,0.64,0.46,0.52,0.55,0.41,0.72,0.95,0.4,0.41,0.55,0.87,0.24,0.9,0.64,0.64,0.53,0.43
moviesandbox.csv,0.71,0.82,0.47,0.44,0.54,0.48,0.58,0.67,0.92,0.45,0.51,0.76,0.76,0.5,0.9,0.78,0.91,0.7,0.63
mvnforum.csv,1.0,0.88,0.74,1.0,0.7,0.68,0.74,0.78,0.95,0.39,0.6,0.76,0.52,1.0,0.88,0.93,1.03,0.81,0.85
nebuladevice.csv,0.8,1.01,1.0,0.76,0.74,0.72,0.82,0.79,0.75,0.55,0.86,0.73,0.85,0.79,0.7,0.92,0.37,0.82,0.66
ontomorphtab.csv,0.68,0.35,0.64,0.5,0.42,0.59,0.61,0.59,0.61,0.94,0.6,0.41,0.78,0.34,0.83,0.71,0.77,0.65,0.41
opengs.csv,0.83,0.8,0.5,0.45,0.43,0.57,0.76,0.64,0.86,0.78,0.43,0.66,0.72,0.88,0.71,0.71,0.76,0.61,0.34
scite-ru.csv,0.93,0.68,0.87,0.53,0.53,0.7,0.73,0.65,0.63,0.68,0.56,0.71,0.94,0.97,0.73,0.65,0.92,0.95,0.85
tokratan.csv,0.78,0.63,0.66,0.49,0.51,0.47,0.52,0.62,0.91,0.96,0.49,0.53,0.66,0.59,0.86,0.57,0.75,0.92,0.49
xuggle.csv,0.53,0.57,0.77,0.45,0.35,0.59,0.56,0.66,0.58,0.82,0.42,0.54,0.7,0.96,0.84,0.63,0.82,0.67,0.41
