,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,pcsx2.csv,xqilla.csv,wxjs.csv,ffigo.csv,wikipediardware.csv
enlightenment.csv,1.0,1.0,1.0,0.32,0.98,1.0,1.0,0.95,1.0
ffigo.csv,0.25,0.22,0.28,0.0,0.03,0.05,0.03,0.3,0.14
ildjit.csv,0.47,0.19,0.17,0.26,0.18,0.59,0.24,0.16,0.14
jfreereport.csv,0.03,0.13,0.18,0.1,0.11,0.05,0.04,0.09,0.0
pcsx2.csv,0.09,0.25,0.4,0.54,0.35,0.14,0.13,0.05,0.36
psycle.csv,0.34,0.78,0.75,0.73,0.66,1.0,0.73,0.52,0.43
wikipediardware.csv,0.37,0.8,1.0,0.66,0.78,1.0,0.92,0.73,0.29
wxjs.csv,0.02,0.01,0.13,0.01,0.04,0.5,0.21,0.0,0.0
xqilla.csv,0.25,0.09,0.4,0.13,0.16,0.06,0.5,0.5,0.14
