,x4x.csv,mobicents.csv,jmol.csv,bnetd.csv,minig.csv,grisbi.csv,zabbix.csv,carabiner.csv,zxing.csv
bnetd.csv,0.46,0.57,0.54,0.96,0.49,0.69,0.69,0.36,0.72
carabiner.csv,0.5,0.57,0.56,0.21,0.57,0.49,0.13,1.0,0.33
grisbi.csv,0.29,0.3,0.0,0.58,0.42,0.98,0.22,0.48,0.4
jmol.csv,0.65,0.51,1.0,0.4,0.37,0.54,0.47,0.52,0.57
minig.csv,0.58,0.59,0.67,0.51,0.98,0.72,0.39,0.21,0.63
mobicents.csv,0.46,0.98,0.57,0.35,0.26,0.49,0.43,0.36,0.63
x4x.csv,0.98,0.62,0.54,0.71,0.54,0.72,0.59,0.57,0.24
zabbix.csv,0.0,0.53,0.7,0.72,0.62,0.51,1.0,0.5,0.51
zxing.csv,0.52,0.47,0.36,0.58,0.59,0.69,0.6,0.43,0.98
