,x4x.csv,mobicents.csv,jmol.csv,bnetd.csv,minig.csv,grisbi.csv,zabbix.csv,carabiner.csv,zxing.csv
bnetd.csv,0.56,0.58,0.69,0.97,0.47,0.78,0.68,0.33,0.81
carabiner.csv,0.71,0.58,0.67,0.27,0.54,0.6,0.17,1.0,0.41
grisbi.csv,0.82,0.66,0.86,0.6,0.54,0.99,0.46,0.49,0.87
jmol.csv,0.74,0.55,1.0,0.44,0.38,0.7,0.52,0.42,0.67
minig.csv,0.68,0.6,0.82,0.6,0.98,0.8,0.46,0.26,0.73
mobicents.csv,0.56,0.99,0.68,0.41,0.28,0.6,0.47,0.33,0.72
x4x.csv,0.99,0.66,0.77,0.71,0.48,0.91,0.53,0.42,0.85
zabbix.csv,0.84,0.63,0.81,0.72,0.54,0.81,1.0,0.39,0.68
zxing.csv,0.63,0.48,0.46,0.61,0.5,0.78,0.55,0.33,0.99
