,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,rcp-company-uibindings.csv,thedata.csv
adonthell.csv,0.24,0.5,0.48,0.61,0.54,0.63,0.38,0.46,0.23,0.6,0.23,0.24,0.51,0.09,0.47,0.42,0.69,0.49,0.25
autofac.csv,0.47,0.48,0.1,0.77,0.32,0.45,0.72,0.5,0.24,0.67,0.38,0.56,0.54,0.78,0.57,0.68,0.47,0.6,0.0
avisynth2.csv,0.25,0.31,0.24,0.17,0.0,0.04,0.15,0.04,0.12,0.0,0.0,0.29,0.15,0.99,0.0,0.05,0.15,0.06,0.0
azureus.csv,0.74,0.34,0.59,0.46,0.32,0.65,0.38,0.55,0.63,0.59,0.33,0.71,0.68,0.77,0.45,0.0,0.7,0.74,0.28
dsworkbench.csv,0.24,0.79,0.82,0.17,0.2,0.26,0.0,0.23,0.49,0.29,0.12,0.23,0.1,0.0,0.17,0.5,0.28,0.3,0.0
forester-atv.csv,0.73,0.74,0.57,0.42,0.39,0.43,0.61,0.19,0.67,0.43,0.44,0.27,0.28,0.72,0.48,0.31,0.38,0.32,0.0
freelords.csv,0.71,0.0,0.66,0.57,0.47,0.68,0.67,0.5,0.59,0.78,0.65,0.45,0.31,0.67,0.6,0.77,0.55,0.54,0.53
gabel.csv,0.01,0.58,0.5,0.36,0.42,0.34,0.67,0.49,0.29,0.86,0.43,0.44,0.64,0.37,0.33,0.36,0.52,0.31,0.49
geotools.csv,0.57,0.64,0.49,0.44,0.51,0.42,0.55,0.52,0.54,0.59,0.53,0.7,0.61,0.0,0.47,0.64,0.57,0.55,0.66
google-collections.csv,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.17,0.65,0.0,0.0,0.0,0.0,0.0,0.0
jpaul.csv,0.37,0.49,0.49,0.39,0.04,0.32,0.86,0.25,0.39,0.74,0.43,0.57,0.31,0.37,0.47,0.5,0.48,0.13,0.0
mycila.csv,0.72,0.35,0.49,0.32,0.0,0.41,0.45,0.37,0.13,0.74,0.73,0.55,0.57,0.0,0.58,0.33,0.58,0.49,0.69
neodatis-odb.csv,0.0,0.43,0.5,0.61,0.29,0.36,0.48,0.64,0.53,0.65,0.45,0.68,0.36,0.3,0.57,0.22,0.35,0.64,0.55
octet.csv,0.0,0.63,0.72,0.5,0.31,0.49,0.55,0.57,0.61,0.7,0.58,0.44,0.44,0.24,0.83,0.68,0.62,0.49,0.29
pokenetonline.csv,0.51,0.45,0.24,0.48,0.4,0.67,0.39,0.44,0.77,0.35,0.51,0.53,0.72,0.38,0.24,0.51,0.45,0.35,0.6
rcp-company-uibindings.csv,0.75,0.64,0.57,0.51,0.38,0.62,0.65,0.43,0.43,0.42,0.34,0.54,0.29,0.65,0.32,0.74,0.62,0.88,0.53
scenemonitor.csv,0.46,0.3,0.61,0.45,0.44,0.46,0.68,0.28,0.71,0.71,0.24,0.68,0.38,0.0,0.34,0.46,0.53,0.42,0.46
thedata.csv,0.0,0.72,0.55,0.51,0.41,0.46,0.33,0.57,0.0,0.49,0.69,0.49,0.2,0.35,0.37,0.33,0.5,0.0,0.99
twostep.csv,0.02,0.67,0.58,0.65,0.37,0.47,0.69,0.55,0.73,0.81,0.58,0.72,0.67,0.64,0.46,0.78,0.6,0.59,0.28
