,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.4,0.02,0.48,0.25,0.88
chaperon.csv,0.27,0.22,0.4,1.0,0.3
mule.csv,0.64,0.14,0.28,0.75,0.5
springside.csv,0.58,0.65,0.45,0.75,0.39
swtfox.csv,0.12,0.51,0.57,0.5,0.09
