,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.64,0.56,0.68,0.65,0.76,0.7,0.96,0.73,0.63,0.73
critterding.csv,0.3,0.95,0.76,0.39,0.21,0.18,0.46,0.44,0.4,0.29
enlightenment.csv,0.52,0.61,0.65,0.96,0.74,0.6,0.63,0.58,0.55,0.5
exordium.csv,0.13,0.33,1.0,0.19,0.57,0.41,0.06,0.38,0.24,0.28
google-caja.csv,0.57,0.56,0.45,0.49,0.61,0.99,0.66,0.65,0.64,0.72
itext.csv,0.59,0.56,0.69,0.53,0.64,0.53,0.69,0.39,0.38,0.98
lockss.csv,0.11,0.0,0.19,0.02,0.96,0.15,0.06,0.09,0.11,0.18
modplug.csv,0.6,0.59,0.65,0.63,0.65,0.57,0.65,0.17,1.0,0.62
reactos-mirror.csv,0.91,0.58,0.62,0.54,0.5,0.58,0.52,0.37,0.7,0.42
yafdotnet.csv,0.4,0.26,0.56,0.36,0.34,0.66,0.47,0.96,0.17,0.41
