,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.63,0.44,0.68,0.5,0.47,0.41,0.02,0.41,0.42,0.5
critterding.csv,0.25,0.02,0.34,0.26,0.4,0.19,0.29,0.22,0.29,0.4
enlightenment.csv,0.35,0.41,0.66,0.02,0.52,0.48,0.35,0.56,0.21,0.33
exordium.csv,0.17,0.32,0.0,0.19,0.65,0.22,0.22,0.16,0.12,0.27
google-caja.csv,0.46,0.44,0.32,0.26,0.66,0.0,0.2,0.7,0.38,0.37
itext.csv,0.54,0.27,0.27,0.31,0.38,0.26,0.29,0.17,0.08,0.0
lockss.csv,0.07,0.0,0.05,0.01,0.01,0.11,0.0,0.0,0.0,0.03
modplug.csv,0.63,0.56,0.66,0.67,0.7,0.67,0.69,0.96,0.0,0.53
reactos-mirror.csv,0.03,0.63,0.54,0.29,0.51,0.56,0.78,0.25,0.46,0.87
yafdotnet.csv,0.87,0.93,0.52,0.89,0.9,0.63,0.82,0.01,0.96,0.87
