,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.58,0.54,0.48,0.68,0.45,0.78,0.95,0.66,0.71,0.73
critterding.csv,0.32,0.96,0.57,0.45,0.13,0.25,0.39,0.47,0.49,0.33
enlightenment.csv,0.5,0.58,0.44,0.97,0.43,0.69,0.5,0.52,0.64,0.53
exordium.csv,0.16,0.35,1.0,0.24,0.31,0.51,0.06,0.42,0.32,0.32
google-caja.csv,0.52,0.54,0.36,0.55,0.34,0.99,0.59,0.63,0.71,0.71
itext.csv,0.52,0.57,0.55,0.58,0.39,0.63,0.57,0.43,0.48,0.99
lockss.csv,0.15,0.0,0.24,0.03,0.95,0.2,0.1,0.14,0.17,0.25
modplug.csv,0.54,0.56,0.44,0.71,0.38,0.72,0.49,0.58,1.0,0.63
reactos-mirror.csv,0.92,0.55,0.42,0.6,0.27,0.69,0.42,0.39,0.77,0.71
yafdotnet.csv,0.54,0.53,0.37,0.68,0.31,0.81,0.41,0.97,0.76,0.68
