,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.78,0.56,0.95,0.7,0.86,0.73,0.95,0.78,0.65,0.82
critterding.csv,0.26,0.94,0.79,0.35,0.18,0.15,0.42,0.4,0.36,0.26
enlightenment.csv,0.5,0.62,0.84,0.96,0.86,0.62,0.63,0.63,0.51,0.47
exordium.csv,0.11,0.29,1.0,0.16,0.68,0.37,0.05,0.33,0.2,0.24
google-caja.csv,0.58,0.56,0.42,0.45,0.77,0.99,0.63,0.92,0.64,0.74
itext.csv,0.63,0.53,0.68,0.5,0.64,0.5,0.68,0.34,0.33,0.97
lockss.csv,0.09,0.0,0.16,0.02,0.95,0.12,0.05,0.07,0.09,0.15
modplug.csv,0.71,0.65,0.84,0.81,0.91,0.69,0.89,0.96,1.0,0.68
reactos-mirror.csv,0.9,0.68,0.68,0.51,0.5,0.63,0.79,0.33,0.75,0.97
yafdotnet.csv,0.83,0.76,0.58,0.85,0.86,0.82,0.79,0.95,0.87,0.91
