,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.75,0.89,0.93,0.0,0.0,0.69,0.55,0.95,0.89,0.47,0.0,0.49,0.46,0.65,0.45
atlc.csv,0.6,0.69,0.61,0.37,0.47,0.5,0.5,0.45,0.4,0.5,0.4,0.48,0.45,0.49,0.44
ipfilter.csv,0.45,0.74,0.54,0.37,0.52,0.48,0.36,0.46,0.41,0.5,0.4,0.53,0.44,0.5,0.45
liferea.csv,0.51,0.5,0.53,0.55,0.69,0.39,0.94,0.68,0.85,0.44,0.8,0.57,0.56,0.72,0.38
miranda-icq.csv,0.55,0.5,0.47,0.33,0.41,0.38,0.77,0.44,0.45,0.47,0.75,0.55,0.4,0.45,0.46
opensim4opencog.csv,0.5,0.36,0.39,0.59,0.58,0.31,0.3,0.49,0.67,0.31,0.41,0.41,0.33,0.48,0.36
pclasses.csv,0.78,0.5,0.83,0.67,0.0,0.86,0.92,0.59,0.0,0.9,0.5,0.0,0.59,0.64,0.92
pfaedit.csv,0.86,0.63,0.47,0.6,0.0,0.55,0.36,0.69,0.5,0.37,0.96,0.5,0.43,0.68,0.67
psrchive.csv,0.67,0.73,0.52,0.41,0.42,0.6,0.51,0.65,0.75,0.49,0.52,0.43,0.43,0.64,0.43
theresa.csv,0.53,0.39,0.39,0.8,0.8,0.47,0.35,0.67,0.0,0.45,0.36,0.43,0.4,0.54,0.35
thrust.csv,0.75,0.9,0.95,0.9,0.79,0.0,0.54,0.67,0.75,0.75,0.94,0.89,0.96,0.69,0.75
tktoolkit.csv,0.56,0.4,0.48,0.37,0.75,0.45,0.33,0.43,0.49,0.5,0.81,0.39,0.44,0.46,0.38
tzod.csv,0.59,0.42,0.53,0.41,0.55,0.65,0.67,0.83,0.86,0.54,0.45,0.56,0.4,0.67,0.41
yaprm.csv,0.49,0.58,0.45,0.5,0.0,0.57,0.92,0.79,0.64,0.42,0.56,0.67,0.43,0.61,0.83
