,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.25,0.67,0.36,0.0,0.0,0.08,0.81,0.11,0.44,0.56,0.0,0.35,0.99,0.49,0.9
atlc.csv,0.16,0.34,0.16,0.24,0.85,0.05,0.52,0.13,0.27,0.46,0.12,0.29,0.99,0.19,0.8
ipfilter.csv,0.14,0.44,0.16,0.22,0.52,0.05,0.6,0.16,0.26,0.52,0.13,0.3,0.99,0.2,0.96
liferea.csv,0.23,0.64,0.21,0.45,0.65,0.07,0.72,0.2,0.23,0.56,0.13,0.42,1.0,0.14,0.83
miranda-icq.csv,0.18,0.39,0.27,0.24,0.59,0.06,0.77,0.13,0.21,0.53,0.25,0.39,0.99,0.23,0.89
opensim4opencog.csv,0.35,0.49,0.24,0.47,0.92,0.09,0.72,0.24,0.25,0.53,0.14,0.31,1.0,0.26,0.75
pclasses.csv,0.56,0.44,0.33,0.33,0.0,0.0,0.42,0.19,0.0,0.3,0.5,0.0,1.0,0.21,0.5
pfaedit.csv,0.14,0.63,0.23,0.27,0.0,0.1,0.83,0.19,0.5,0.58,0.3,0.0,1.0,0.3,1.0
psrchive.csv,0.17,0.53,0.44,0.19,0.59,0.1,0.53,0.11,0.25,0.51,0.14,0.27,1.0,0.23,0.67
theresa.csv,0.12,0.55,0.27,0.6,0.8,0.2,0.77,0.18,0.0,0.55,0.15,0.25,1.0,0.3,0.71
thrust.csv,0.0,0.3,0.11,0.1,0.79,0.0,0.64,0.07,0.39,0.46,0.13,0.16,1.0,0.21,0.64
tktoolkit.csv,0.12,0.33,0.19,0.21,0.69,0.1,0.67,0.14,0.31,0.5,0.32,0.25,0.99,0.24,0.74
tzod.csv,0.14,0.55,0.24,0.44,0.75,0.12,0.67,0.13,0.43,0.51,0.11,0.32,1.0,0.24,0.73
yaprm.csv,0.2,0.5,0.2,0.5,0.0,0.1,0.83,0.18,0.25,0.66,0.21,1.0,0.99,0.28,1.0
