,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.85,0.97,0.94,0.79,0.75,0.79,0.68,0.79,0.93,0.76,0.75,0.92,0.65,0.74,0.78,0.9,0.84
blogentis.csv,0.94,0.51,0.78,0.64,0.85,0.93,0.71,0.98,0.82,0.42,0.88,0.87,0.39,0.83,0.84,0.89,0.39
bochs.csv,0.97,0.46,0.58,0.68,0.49,0.64,0.52,0.58,0.7,0.5,0.4,0.62,0.54,0.71,0.65,0.57,0.58
galaxium.csv,0.56,0.35,0.92,0.66,0.75,0.56,0.6,0.67,0.93,0.72,0.5,0.93,0.42,0.62,0.76,0.89,0.89
gisgraphy.csv,0.99,0.41,0.59,0.71,0.57,0.54,0.68,0.38,0.86,0.93,0.51,0.71,0.65,0.49,0.95,0.65,0.76
haphazard.csv,0.97,0.55,0.96,0.98,0.83,0.97,0.8,0.97,0.86,0.91,0.8,0.92,0.54,0.95,0.95,0.88,0.4
ipfire-wall.csv,0.42,0.55,0.57,0.76,0.88,0.91,0.61,0.97,0.68,0.37,0.56,0.56,0.5,0.88,0.57,0.83,0.42
jmri.csv,0.98,0.39,0.5,0.58,0.48,0.62,0.56,0.45,0.83,0.53,0.41,0.55,0.58,0.49,0.72,0.43,0.46
jvcl.csv,0.0,0.93,0.0,0.56,0.0,0.69,0.62,0.43,0.0,0.88,0.0,0.0,0.67,0.0,0.83,0.0,0.61
kaffeine.csv,0.46,0.31,0.42,0.36,0.41,0.4,0.39,0.34,0.56,0.34,0.36,0.38,0.31,0.35,0.55,0.39,0.3
m-a-d-n-e-s-s.csv,0.96,0.42,0.5,0.66,0.7,0.52,0.57,0.38,0.8,0.63,0.38,0.65,0.46,0.64,0.66,0.46,0.54
magicwars.csv,0.51,0.31,0.45,0.4,0.41,0.41,0.42,0.7,0.56,0.37,0.37,0.39,0.31,0.36,0.5,0.39,0.33
nh3d.csv,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0
opentibia.csv,0.41,0.3,0.44,0.47,0.4,0.45,0.35,0.74,0.57,0.38,0.36,0.39,0.33,0.36,0.51,0.38,0.43
sarasvati.csv,0.96,0.96,0.85,0.94,0.95,0.9,0.0,0.95,0.9,0.0,0.94,0.81,0.0,0.94,0.92,0.5,0.0
smartgwt.csv,0.71,0.35,0.8,0.58,0.76,0.82,0.94,0.89,0.68,0.5,0.89,0.58,0.46,0.42,0.57,0.61,0.57
tweetsharp.csv,0.55,0.55,0.67,0.66,0.64,0.79,0.7,0.44,0.64,0.65,0.42,0.54,0.73,0.66,0.77,0.46,0.52
