,mcore3d.csv,xbplayer.csv,genecys.csv,projecteqemu.csv
genecys.csv,0.7,0.3,0.93,0.44
mcore3d.csv,0.77,0.62,0.89,0.52
projecteqemu.csv,0.77,0.4,0.92,0.67
xbplayer.csv,0.79,0.53,0.97,0.59
