,mcore3d.csv,xbplayer.csv,genecys.csv,projecteqemu.csv
genecys.csv,0.58,0.46,0.74,0.44
mcore3d.csv,0.65,0.28,0.63,0.65
projecteqemu.csv,0.53,0.69,0.6,0.72
xbplayer.csv,0.41,0.77,0.58,0.56
