,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv,trinitycore.csv,zemljanka.csv,rockbox.csv
adobe-source.csv,3.0,4.0,2.0,0.0,69.0,15.0,0.0,3.0,2.0,0.0,11.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0
atlc.csv,1.0,4.0,3.0,6.0,0.0,34.0,1.0,5.0,1.0,0.0,3.0,15.0,0.0,9.0,1.0,8.0,0.0,9.0
ipfilter.csv,1.0,4.0,3.0,6.0,0.0,40.0,9.0,4.0,1.0,0.0,2.0,4.0,0.0,12.0,0.0,14.0,0.0,12.0
liferea.csv,0.0,4.0,6.0,0.0,1.0,46.0,3.0,6.0,0.0,1.0,7.0,2.0,0.0,20.0,0.0,4.0,1.0,4.0
miranda-icq.csv,17.0,5.0,1.0,6.0,0.0,46.0,1.0,12.0,1.0,1.0,9.0,2.0,0.0,20.0,1.0,10.0,1.0,6.0
opensim4opencog.csv,2.0,3.0,11.0,5.0,0.0,27.0,1.0,7.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0
pclasses.csv,0.0,4.0,1.0,3.0,69.0,52.0,3.0,2.0,63.0,0.0,0.0,201.0,0.0,12.0,3.0,4.0,0.0,9.0
pfaedit.csv,66.0,0.0,11.0,3.0,69.0,10.0,0.0,6.0,0.0,1.0,0.0,201.0,0.0,11.0,0.0,3.0,0.0,1.0
psrchive.csv,5.0,1.0,1.0,11.0,0.0,18.0,1.0,12.0,63.0,1.0,1.0,4.0,0.0,3.0,0.0,2.0,0.0,3.0
rockbox.csv,3.0,4.0,2.0,2.0,69.0,19.0,3.0,7.0,0.0,2.0,6.0,3.0,0.0,14.0,0.0,8.0,1.0,0.0
theresa.csv,13.0,2.0,6.0,3.0,4.0,13.0,4.0,8.0,63.0,2.0,5.0,18.0,0.0,6.0,1.0,4.0,0.0,1.0
thrust.csv,66.0,74.0,88.0,56.0,69.0,52.0,3.0,3.0,5.0,0.0,177.0,201.0,0.0,13.0,0.0,8.0,210.0,6.0
tktoolkit.csv,8.0,1.0,0.0,9.0,0.0,52.0,5.0,14.0,1.0,3.0,4.0,3.0,0.0,4.0,0.0,11.0,0.0,11.0
trinitycore.csv,2.0,2.0,3.0,56.0,0.0,25.0,2.0,2.0,2.0,0.0,4.0,4.0,0.0,12.0,0.0,1.0,0.0,0.0
tzod.csv,5.0,0.0,11.0,0.0,1.0,40.0,1.0,31.0,1.0,1.0,10.0,2.0,0.0,13.0,1.0,0.0,0.0,4.0
yaprm.csv,1.0,9.0,16.0,3.0,3.0,52.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,9.0,0.0,10.0
zemljanka.csv,1.0,2.0,9.0,11.0,0.0,28.0,11.0,13.0,5.0,0.0,3.0,15.0,0.0,12.0,0.0,13.0,0.0,8.0
