,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.62,0.3,0.02,0.0,1.0,1.0,0.24,0.42,0.23,0.32,0.4,0.17,0.17,0.11,0.06,0.23
elateportal.csv,1.0,0.7,0.49,0.3,0.5,0.89,0.86,0.85,0.88,0.55,0.41,0.0,0.83,0.33,0.12,0.09
gmerlin.csv,0.67,0.83,0.0,0.0,0.0,1.0,0.19,0.0,0.32,0.78,0.0,1.0,0.94,0.0,0.01,0.98
gretl.csv,0.92,0.48,0.07,0.4,1.0,0.18,0.56,0.42,0.86,0.55,0.63,0.5,0.33,0.67,0.39,0.62
illumination.csv,0.0,0.87,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.14,0.0,1.0,0.94,0.0,0.0,0.98
mpgravity.csv,0.96,1.0,0.1,0.33,1.0,1.0,0.71,0.69,0.73,0.91,0.65,1.0,0.78,0.67,0.64,0.64
nativeclient.csv,0.5,0.3,0.49,0.27,0.5,0.24,0.22,0.23,0.3,0.52,0.63,0.33,0.28,0.33,0.28,0.28
natpad.csv,0.67,0.17,0.12,0.47,1.0,0.66,0.55,0.31,0.68,0.35,0.36,0.0,0.28,0.78,0.17,0.34
ogre.csv,0.12,0.48,1.0,0.6,0.0,0.16,0.4,0.81,0.59,0.85,0.78,1.0,0.78,0.22,0.83,0.7
open-ms.csv,0.12,0.26,0.07,0.1,0.75,0.18,0.14,0.42,0.3,0.4,0.33,0.67,0.28,0.11,0.07,0.02
openmsx.csv,0.12,0.43,0.54,0.0,0.0,0.11,0.34,0.65,0.56,0.34,0.43,0.67,1.0,0.0,0.01,0.0
oppna-program-hsatools.csv,0.12,0.13,1.0,0.43,1.0,0.26,0.18,0.85,0.52,0.52,0.83,0.67,0.5,0.22,0.93,0.81
sandiaportals.csv,0.88,0.43,0.07,0.3,0.5,0.87,0.38,0.12,0.39,0.43,0.43,0.0,0.22,0.78,0.29,0.38
sauerbraten.csv,0.21,0.61,0.98,0.83,1.0,0.29,0.82,0.85,0.98,0.68,0.92,0.67,0.72,1.0,0.99,1.0
yarp.csv,0.21,0.65,0.0,0.0,0.0,0.45,0.04,0.0,0.02,0.26,0.31,0.0,0.0,0.0,0.03,0.0
zemljanka.csv,0.96,0.96,0.17,0.67,0.5,0.87,0.76,0.77,0.65,0.78,0.75,1.0,0.89,0.0,0.87,0.81
