,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.29,0.34,0.5,0.32,0.45,0.44,0.19,0.26,0.21,0.13,0.0,0.23,0.23
avifile.csv,0.23,0.0,0.0,0.18,0.24,0.35,0.0,0.09,0.09,0.26,0.07,0.1,0.0
baadengine.csv,0.0,0.57,1.0,0.43,0.31,0.32,0.29,0.57,0.76,0.32,0.71,0.65,0.54
gdis.csv,0.7,0.82,0.75,0.63,0.66,0.52,0.69,0.88,0.92,0.96,0.67,0.98,0.08
gogoego.csv,0.09,0.2,0.0,0.21,0.24,0.49,0.21,0.0,0.17,0.23,0.15,0.14,0.46
impala.csv,0.49,0.12,0.0,0.93,1.0,0.94,0.01,0.95,0.86,0.04,0.35,0.0,0.69
jgameai.csv,0.12,0.43,0.0,0.16,0.31,0.0,0.94,0.77,0.14,0.15,0.07,0.17,0.15
jhotdraw.csv,0.01,0.03,0.0,0.01,0.28,0.06,0.0,0.13,0.0,0.0,0.09,0.05,0.08
patterntesting.csv,0.1,0.46,0.75,0.36,0.24,0.21,0.24,0.43,0.28,0.02,0.44,0.39,0.46
pokeglobal.csv,0.68,0.58,0.25,0.46,0.0,0.57,0.97,0.46,0.72,0.28,0.65,0.6,1.0
werx.csv,1.0,0.97,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0
zealos.csv,0.18,0.34,1.0,0.51,0.41,0.4,0.0,0.49,0.52,0.36,0.64,0.39,0.46
