,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.45,0.0,0.07,0.0,0.37,0.48,0.31,0.44,0.28,0.52,1.0,0.0,0.39
avifile.csv,0.06,0.83,0.19,0.0,0.09,0.41,0.0,0.02,0.1,0.12,0.0,0.05,0.0
baadengine.csv,0.99,0.0,0.0,0.87,0.58,0.35,0.78,0.63,0.53,0.64,0.6,0.47,0.72
gdis.csv,0.6,0.32,0.52,0.75,0.65,0.53,0.68,0.39,0.3,0.17,0.61,0.09,0.98
gogoego.csv,0.16,0.0,0.06,0.0,0.28,0.53,0.37,0.94,0.39,0.27,0.26,0.1,0.59
impala.csv,0.31,0.0,0.02,0.27,0.0,0.24,0.0,0.21,0.41,0.12,0.34,0.93,0.38
jgameai.csv,0.09,0.74,0.07,0.0,0.38,1.0,0.22,0.47,0.1,0.27,0.11,0.14,0.06
jhotdraw.csv,0.02,0.24,0.05,0.0,0.38,0.05,0.0,0.24,0.92,0.0,0.11,0.05,0.13
patterntesting.csv,0.24,0.23,0.32,0.0,0.45,0.27,0.63,0.53,0.56,1.0,0.42,0.39,0.71
pokeglobal.csv,0.6,0.55,0.67,0.85,0.98,0.57,0.13,0.55,0.5,0.23,0.63,0.52,0.0
werx.csv,0.0,0.13,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0
zealos.csv,0.36,0.43,0.0,0.0,0.4,0.67,1.0,0.57,0.46,0.58,0.48,0.35,0.39
