,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.79,0.68,0.92,0.62,0.56,0.82,0.86,0.72,0.86,0.65,0.74,0.86,0.57
avifile.csv,0.98,0.75,0.97,0.94,0.9,0.97,0.0,0.96,0.97,0.93,0.75,0.95,0.0
baadengine.csv,0.44,0.46,0.37,0.41,0.41,0.5,0.45,0.36,0.32,0.35,0.33,0.35,0.29
gdis.csv,0.42,0.4,0.36,0.45,0.37,0.55,0.51,0.37,0.36,0.44,0.42,0.33,0.34
gogoego.csv,0.99,0.77,0.89,0.81,0.71,0.62,0.54,0.84,0.88,0.94,0.92,0.96,0.4
impala.csv,0.81,0.88,0.67,0.44,0.42,0.52,0.0,0.38,0.42,0.8,0.77,0.96,0.66
jgameai.csv,0.98,0.69,0.91,0.94,0.78,0.85,0.62,0.47,0.98,0.86,0.83,0.97,0.8
jhotdraw.csv,0.9,0.67,0.86,0.0,0.64,0.8,0.0,0.98,0.98,0.0,0.86,0.91,0.86
patterntesting.csv,0.78,0.52,0.55,0.53,0.54,0.68,0.47,0.56,0.59,0.55,0.55,0.57,0.32
pokeglobal.csv,0.54,0.56,0.43,0.47,0.47,0.5,0.55,0.44,0.36,0.68,0.37,0.4,0.36
werx.csv,0.41,0.37,0.36,0.41,0.4,0.48,0.54,0.36,0.36,0.44,0.35,0.33,0.36
zealos.csv,0.69,0.79,0.42,0.5,0.56,0.56,0.67,0.54,0.51,0.59,0.45,0.57,0.74
