,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.38,0.27,0.0,0.37,0.25,0.35,0.38,0.32,0.3,0.97,0.11,0.31,0.29,0.29,0.49,0.16,0.24
botsnscouts.csv,0.26,0.3,0.1,0.14,0.37,0.09,0.98,0.11,0.47,0.0,0.22,0.23,0.4,0.27,0.38,0.41,0.21
cities3d.csv,0.48,0.14,0.43,0.97,0.57,0.36,0.54,0.33,0.7,0.36,0.16,0.49,0.24,0.76,0.48,0.18,0.61
dynalloy.csv,0.99,0.47,0.0,0.19,0.5,0.39,0.45,0.47,0.25,0.25,0.4,0.49,0.26,0.64,0.49,0.48,0.49
electric-core.csv,0.47,0.96,0.5,0.18,0.45,0.37,0.62,0.32,0.84,0.34,0.6,0.43,0.24,0.73,0.49,0.17,0.84
findbugs.csv,0.41,0.45,0.24,0.27,0.58,0.23,0.21,0.27,0.61,0.16,0.35,0.29,0.43,0.65,0.96,0.63,0.47
img-browse-sort.csv,0.41,0.23,0.0,0.13,0.27,0.64,0.44,0.05,0.1,0.3,0.46,0.43,0.96,0.0,0.26,0.79,0.1
jparsec.csv,0.45,0.4,0.39,0.21,0.37,0.43,0.57,0.45,0.74,0.35,0.64,0.98,0.32,0.7,0.44,0.58,0.53
moast.csv,0.47,0.43,0.26,0.15,0.62,0.52,0.28,0.42,0.57,0.19,0.57,0.51,0.3,0.74,0.41,1.0,0.39
mptvseries.csv,0.51,0.49,0.24,0.25,0.97,0.41,0.5,0.52,0.34,0.2,0.36,0.48,0.0,0.55,0.54,0.96,0.34
mvnforum.csv,0.31,0.12,0.0,0.13,0.16,0.91,0.18,0.0,0.09,0.07,0.14,0.45,0.0,0.13,0.15,0.56,0.04
nosleepsoftware.csv,0.03,0.32,0.93,0.22,0.15,0.14,0.39,0.39,0.48,0.44,0.3,0.19,0.37,0.44,0.36,0.06,0.51
ogre.csv,0.53,0.35,0.41,0.16,0.57,0.45,0.67,0.53,1.0,0.32,0.71,0.57,0.41,0.81,0.55,0.94,0.87
openfrag.csv,0.51,0.36,0.33,0.17,0.63,0.47,0.61,0.56,0.67,0.37,0.98,0.56,0.49,0.8,0.53,0.95,0.78
qdvdauthor.csv,0.3,0.35,0.37,0.04,0.07,0.49,0.34,0.49,0.74,0.23,0.58,0.51,0.31,0.99,0.2,0.29,0.57
sumatrapdf.csv,0.46,0.46,0.06,0.29,0.52,0.44,0.61,0.97,0.66,0.41,0.7,0.61,0.42,0.67,0.6,0.79,0.64
zxing.csv,0.36,0.37,0.45,0.17,0.52,0.22,0.4,0.0,0.66,0.35,0.5,0.34,0.16,0.75,0.43,0.23,1.0
