,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.78,0.7,0.88,0.68,0.93,0.67,0.0,0.8,0.78,0.81,0.93,0.79,0.87,0.68,0.86
bscwweasel.csv,0.99,1.0,0.82,0.1,0.76,1.0,1.0,1.0,0.83,0.89,1.0,0.97,0.82,0.94,1.0
capcode.csv,1.0,0.8,0.84,0.84,0.96,0.25,0.97,0.76,0.81,0.84,1.0,0.61,0.73,0.92,1.01
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
emite.csv,0.66,0.79,0.69,0.66,0.54,0.74,0.88,0.78,0.71,0.76,0.37,0.06,0.85,0.47,0.33
fluent-nhibernate.csv,0.94,1.01,0.82,0.91,0.98,0.84,0.95,0.88,0.96,0.93,1.0,0.97,0.06,0.91,1.01
lamp.csv,0.99,0.14,0.89,0.85,0.76,0.75,0.94,0.95,0.74,0.83,0.67,1.0,0.77,0.93,1.01
mecat.csv,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
nodal.csv,0.99,0.68,0.76,0.86,0.63,0.63,0.93,0.88,0.09,0.58,0.68,0.94,0.6,0.82,0.7
pydev.csv,0.76,0.87,0.69,0.69,0.52,0.78,0.93,0.84,0.79,0.06,0.37,1.0,0.78,1.02,0.38
retromenu.csv,0.99,0.79,0.69,0.85,0.05,0.71,0.94,0.93,0.83,0.69,0.67,0.97,0.77,0.96,0.62
smbopensoft.csv,0.05,0.62,0.76,0.71,0.9,0.87,0.7,0.78,0.84,0.79,0.75,0.63,0.84,0.82,0.67
stuproa-cims.csv,1.0,0.96,0.9,0.62,0.93,0.81,0.91,0.02,0.91,0.85,0.88,0.78,0.61,0.55,0.98
thout.csv,0.84,0.76,0.05,0.74,0.66,0.65,0.68,0.77,0.87,0.8,0.43,0.84,0.6,0.87,0.42
uface.csv,1.0,0.89,0.83,0.53,0.94,0.77,0.78,0.84,0.82,0.77,0.82,0.56,0.66,0.01,0.9
