,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.49,0.1,0.17,0.14,0.16,0.16,1.0,0.23,0.26,0.28,0.02,0.46,0.05,0.68,0.06
bscwweasel.csv,1.0,0.0,0.5,1.0,0.62,0.0,0.0,0.0,0.44,0.8,0.0,0.5,0.75,1.0,0.0
capcode.csv,0.0,0.08,0.24,0.1,0.17,1.0,0.4,0.32,0.28,0.3,0.0,0.54,0.15,0.56,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
emite.csv,0.54,0.23,0.24,0.17,0.43,0.15,1.0,0.29,0.41,0.31,0.12,1.0,0.08,0.86,0.23
fluent-nhibernate.csv,0.67,0.0,0.47,0.08,0.08,0.18,0.86,0.37,0.5,0.21,0.0,0.33,1.0,0.55,0.0
lamp.csv,1.0,1.0,0.42,0.75,0.71,0.43,0.88,0.43,0.86,0.75,0.2,0.0,0.44,0.89,0.0
mecat.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nodal.csv,1.0,0.15,0.42,0.15,0.57,0.24,0.8,0.35,1.0,0.47,0.12,0.67,0.25,0.91,0.1
pydev.csv,0.53,0.1,0.45,0.18,0.55,0.17,0.8,0.21,0.42,1.0,0.18,0.0,0.15,0.3,0.19
retromenu.csv,1.0,1.0,0.54,0.33,1.0,0.19,0.88,0.44,0.67,0.92,0.25,0.5,0.4,0.8,0.18
smbopensoft.csv,0.99,0.12,0.21,0.12,0.19,0.1,0.75,0.24,0.29,0.33,0.05,0.57,0.1,0.6,0.11
stuproa-cims.csv,0.49,0.1,0.23,0.16,0.33,0.14,0.73,1.0,0.25,0.36,0.05,0.42,0.13,0.76,0.09
thout.csv,0.84,0.09,0.98,0.11,0.44,0.17,0.75,0.23,0.18,0.3,0.11,0.33,0.15,0.53,0.19
uface.csv,0.49,0.09,0.25,0.2,0.31,0.15,0.76,0.25,0.28,0.37,0.06,0.55,0.13,1.0,0.07
