,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv
benojt.csv,0.34,0.42,0.33,0.35,0.39,0.36
jahshaka.csv,0.59,0.8,0.66,0.55,0.71,0.54
jam-daq.csv,0.67,0.64,0.63,0.38,0.54,0.53
jatlas.csv,0.81,0.0,0.0,0.67,0.8,0.93
jedit.csv,0.48,0.42,0.41,0.37,0.52,0.34
open-media-library.csv,0.35,0.91,0.51,0.49,0.55,0.49
