,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,1.0,0.36,0.93,0.29,1.0,1.0,0.7,0.4,0.07,0.86,0.45,0.6,0.06,0.0,0.09,1.0
customsagetv.csv,0.5,0.33,0.96,1.0,0.73,0.92,0.0,0.38,0.02,0.83,1.0,0.0,0.0,0.0,0.38,0.0
glas.csv,0.55,0.43,0.96,0.3,0.75,0.93,0.74,0.43,0.03,0.85,0.38,0.35,0.02,1.0,0.06,0.55
intact.csv,0.67,0.48,0.94,1.0,0.79,0.95,0.68,0.25,0.03,0.85,0.72,0.37,0.04,0.4,0.08,0.59
japano.csv,0.54,0.44,0.97,0.24,0.9,1.0,0.62,0.27,0.03,0.86,0.29,0.3,0.03,0.44,0.04,0.56
jas.csv,0.29,0.3,0.96,0.39,0.77,0.96,0.69,0.21,0.02,0.89,0.91,0.45,0.15,0.55,1.0,0.75
lazarus-ccr.csv,0.65,1.0,0.97,0.21,0.71,0.89,0.53,0.35,0.02,0.9,0.81,0.65,0.01,0.32,0.13,1.0
officefloor.csv,0.49,0.4,0.95,0.28,0.75,0.94,0.54,0.24,1.0,0.87,0.67,0.35,0.03,0.4,0.2,0.63
primefaces.csv,0.43,0.5,0.95,0.31,0.79,0.88,0.59,0.28,0.02,0.88,0.13,0.27,0.05,0.58,0.13,0.98
pustefix.csv,0.62,0.4,1.0,0.26,0.78,0.96,0.58,1.0,0.02,0.9,0.74,0.44,0.0,0.68,0.0,0.5
red5.csv,0.61,0.48,0.97,0.38,0.86,0.94,1.0,0.28,0.04,0.87,0.33,0.27,0.01,0.43,0.04,0.65
redshell.csv,0.52,0.59,0.99,0.3,0.9,0.91,0.54,0.23,0.04,0.84,0.27,0.23,0.03,0.41,0.07,0.59
rohxel.csv,0.5,0.47,0.96,0.29,1.0,0.94,0.65,0.28,0.03,0.86,0.57,0.36,0.02,0.39,0.07,0.62
roolo.csv,0.71,0.39,1.0,0.23,1.0,0.95,0.6,0.0,0.04,0.94,0.55,1.0,0.0,0.0,0.03,0.65
toped.csv,0.52,0.64,0.95,0.26,0.83,0.95,0.58,0.31,0.05,1.0,0.0,0.27,0.02,0.69,0.02,0.6
xreal.csv,0.0,0.4,1.0,0.0,0.8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
