,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.39,0.44,0.52,0.41,0.42,0.68,0.56,0.42,0.52,0.81,0.35,0.0,0.36,0.83,0.35
badtrinity-zero.csv,0.99,0.0,0.43,0.0,0.36,0.43,0.95,0.0,0.4,0.0,0.36,0.4,0.9,0.47,0.34
biodwh.csv,0.89,0.76,0.77,0.51,0.56,0.67,0.9,0.4,0.5,0.47,0.5,0.82,0.65,0.58,0.39
critterding.csv,0.53,0.59,0.49,0.47,0.41,0.46,0.44,0.44,0.48,0.38,0.38,0.45,0.36,0.42,0.38
elateportal.csv,0.45,0.61,0.55,0.57,0.46,0.61,0.42,0.59,0.48,0.97,0.31,0.41,0.33,0.47,0.36
enzo.csv,0.37,0.44,0.43,0.39,0.39,0.38,0.4,0.37,0.38,0.35,0.3,0.44,0.34,0.41,0.31
factor.csv,0.71,0.75,0.96,0.55,0.96,0.74,0.94,0.61,0.88,0.96,0.56,0.43,0.82,0.52,0.41
gusanos.csv,0.99,0.44,0.48,0.4,0.35,0.94,0.74,0.42,0.92,0.0,0.56,0.0,0.35,0.5,0.47
miranda.csv,0.0,0.0,0.63,0.0,0.43,0.55,0.5,0.0,0.54,0.0,0.33,0.39,0.9,0.8,0.38
modplug.csv,0.43,0.54,0.47,0.46,0.36,0.48,0.41,0.47,0.45,0.57,0.3,0.39,0.35,0.47,0.37
monetdb.csv,0.49,0.68,0.58,0.69,0.48,0.73,0.64,0.51,0.52,0.9,0.36,0.74,0.4,0.59,0.46
quarkplayer.csv,0.91,0.88,0.94,0.77,0.94,0.96,0.91,0.92,0.91,0.71,0.75,0.92,0.92,0.66,0.98
reactos-mirror.csv,0.57,0.52,0.53,0.51,0.37,0.59,0.49,0.46,0.45,0.42,0.29,0.39,0.53,0.75,0.35
sandiaportals.csv,0.58,0.58,0.52,0.45,0.43,0.62,0.44,0.47,0.49,0.54,0.86,0.44,0.58,0.49,0.39
xbplayer.csv,0.66,0.63,0.48,0.5,0.58,0.59,0.52,0.53,0.43,0.75,0.43,0.57,0.31,0.56,0.36
