,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.96,1.0,0.44,0.99,0.41,0.24,0.43,1.0,0.08,0.16,0.17,0.0,0.97,0.17,1.0
badtrinity-zero.csv,0.08,0.0,0.37,0.0,0.77,0.98,0.12,0.0,0.58,0.0,0.33,0.94,0.11,0.52,0.74
biodwh.csv,0.1,0.15,0.06,0.26,0.23,0.21,0.05,0.31,0.08,0.2,0.0,0.0,0.15,0.22,0.42
critterding.csv,0.51,0.29,0.85,0.63,0.87,0.9,0.89,0.62,0.33,0.4,0.67,0.39,0.83,0.65,0.84
elateportal.csv,0.68,0.66,0.34,0.54,0.39,0.34,0.63,0.48,0.75,0.6,0.0,0.78,0.77,0.48,0.72
enzo.csv,0.77,0.66,0.98,0.67,0.87,0.82,0.59,0.55,0.88,0.24,1.0,0.94,0.99,0.96,0.71
factor.csv,0.33,0.54,0.17,0.51,0.11,0.3,0.11,0.62,0.0,0.6,0.0,0.33,0.28,0.17,0.65
gusanos.csv,0.17,0.76,0.35,0.74,0.87,0.09,0.26,0.21,0.08,0.0,0.33,0.0,0.59,0.26,0.23
miranda.csv,0.0,0.0,0.2,0.0,0.36,0.48,0.01,0.0,0.67,0.0,0.5,1.0,0.11,0.17,0.43
modplug.csv,0.75,0.61,0.72,0.76,0.72,0.78,0.97,0.59,0.25,0.28,0.67,0.39,0.61,0.48,0.9
monetdb.csv,0.49,0.46,0.22,0.31,0.25,0.31,0.35,0.21,0.08,0.04,0.0,0.11,0.46,0.17,0.5
quarkplayer.csv,0.24,0.07,0.34,0.21,0.15,0.16,0.3,0.24,0.12,0.68,0.67,0.17,0.15,0.43,0.17
reactos-mirror.csv,0.26,0.49,0.41,0.42,0.44,0.55,0.55,0.72,0.42,0.4,0.67,1.0,0.37,0.61,1.0
sandiaportals.csv,0.45,0.51,0.4,0.58,0.46,0.36,0.86,0.31,0.12,0.2,0.33,0.11,0.41,0.26,0.69
xbplayer.csv,0.23,0.29,0.3,0.27,0.14,0.21,0.37,0.14,0.5,0.0,0.33,0.0,0.62,0.22,0.49
