,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,geochat.csv
adaptagrams.csv,0.04,0.97,0.56,0.52,0.61,0.8
aime.csv,1.0,0.87,0.74,0.81,0.29,0.98
badtrinitycore.csv,1.0,1.0,0.85,0.15,0.87,0.68
electric-core.csv,0.66,0.73,0.07,0.75,0.74,0.77
geochat.csv,0.7,0.75,0.73,0.84,0.58,0.07
olsrd.csv,0.75,0.04,0.66,0.69,0.67,0.64
