,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.27,0.71,0.1,0.81,0.42,0.17,0.32,0.27,0.95,0.31,0.94,0.24,0.32,0.6,0.27,0.12,0.97,0.02
fbmanager.csv,0.04,0.05,0.19,0.0,0.02,0.21,0.26,0.0,0.34,0.01,0.21,0.02,0.14,0.0,0.34,0.0,0.0,0.69
fido.csv,0.03,0.0,0.0,0.3,0.0,0.04,0.0,0.0,0.24,0.0,0.13,0.0,0.0,0.06,0.01,0.0,0.14,0.0
fityk.csv,0.52,0.86,0.42,0.56,0.61,0.29,0.53,0.33,0.46,0.73,0.56,0.58,0.36,0.6,0.86,0.0,0.37,0.6
fleet-simulator.csv,0.74,0.9,0.71,0.74,0.77,0.96,0.68,0.83,0.88,0.07,0.91,0.75,0.77,0.99,0.75,0.0,0.74,0.76
google-caja.csv,0.19,0.86,0.35,0.19,0.87,0.33,0.74,0.17,0.9,0.57,0.96,0.42,0.59,0.93,0.42,0.0,0.75,0.65
hibernate.csv,0.27,0.43,0.1,0.15,0.91,0.42,0.42,0.03,0.8,0.93,0.47,0.3,0.5,0.5,0.43,0.0,0.28,0.75
itext.csv,0.29,0.95,0.45,1.0,0.9,0.5,0.79,0.2,0.92,0.95,0.84,0.59,0.55,0.79,0.36,0.38,0.71,0.78
k3b.csv,0.34,0.29,0.87,0.67,0.83,0.25,0.84,0.17,0.51,0.99,0.75,0.99,0.59,0.56,0.95,1.0,0.64,0.93
megameknet.csv,0.63,0.67,0.48,0.93,0.6,0.46,0.63,0.63,0.69,0.28,0.54,0.22,0.73,0.83,0.53,0.88,0.47,0.82
myfaces.csv,0.29,0.19,0.1,0.0,0.18,0.17,0.26,0.03,0.73,0.3,0.35,0.08,0.41,0.45,0.09,0.0,0.34,0.42
ninject.csv,0.51,0.48,0.32,0.74,0.37,0.25,0.58,0.3,0.62,0.37,0.21,0.21,0.5,0.36,0.27,0.88,0.24,0.13
ondex.csv,0.14,0.1,0.06,0.0,0.5,0.25,0.26,0.03,0.74,0.01,0.48,0.07,0.23,0.26,0.34,0.0,0.24,0.24
paintown.csv,0.22,0.67,0.68,1.0,0.97,0.42,0.58,0.33,0.93,0.97,0.88,0.95,0.59,0.96,0.87,1.0,0.89,1.0
poormans.csv,0.05,0.29,0.0,0.11,0.23,0.04,0.42,0.1,0.09,0.04,0.1,0.04,0.05,0.54,0.2,0.0,0.08,0.02
powerfolder.csv,0.16,0.1,0.39,0.0,0.36,0.25,0.11,0.07,0.09,0.19,0.41,0.62,0.32,0.12,0.22,0.12,0.24,0.42
smartgwt.csv,0.62,0.43,0.61,0.67,0.49,0.54,0.89,0.7,0.17,0.23,0.79,0.74,0.45,0.47,0.52,1.0,0.26,1.0
triplea.csv,0.32,0.24,0.32,0.67,0.96,0.5,0.79,0.17,0.85,0.53,0.89,0.34,0.45,0.5,0.83,0.0,0.5,0.62
