,oscarmcmaster.csv,jmoney.csv,irplus.csv,twostep.csv,openmalaria.csv,atunes.csv
atunes.csv,0.44,0.39,0.43,0.62,0.02,0.25
irplus.csv,0.43,0.34,0.36,0.27,0.14,0.31
jmoney.csv,0.34,0.22,0.39,0.31,0.06,0.18
openmalaria.csv,0.7,0.93,0.43,0.38,0.22,0.47
oscarmcmaster.csv,0.29,0.17,0.34,0.16,0.14,0.89
twostep.csv,0.49,0.66,0.5,0.18,0.18,0.69
