,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.56,0.65,0.83,0.69,0.82,0.87,0.79,0.97,0.77,0.85,0.94
etherboot.csv,0.49,0.0,0.53,0.62,0.0,0.56,0.75,0.55,0.0,0.0,0.0
ffigo.csv,0.0,0.62,0.73,0.51,0.75,0.89,0.51,0.57,0.41,0.68,0.97
gebr.csv,0.39,0.38,0.42,0.42,0.36,0.45,0.33,0.38,0.37,0.37,0.34
gpac.csv,0.93,0.7,0.94,0.9,0.46,0.5,0.83,0.68,0.55,0.37,0.35
libtorrent.csv,0.51,0.42,0.49,0.44,0.33,0.46,0.38,0.4,0.41,0.41,0.39
miranda.csv,0.5,0.0,0.5,0.53,0.89,0.0,0.4,0.94,0.38,0.99,0.38
modellus.csv,0.5,0.76,0.57,0.48,0.57,0.58,0.54,0.42,0.51,0.37,0.36
mplayer-ce.csv,0.48,0.44,0.46,0.43,0.47,0.52,0.38,0.4,0.41,0.56,0.47
nicepress.csv,0.51,0.45,0.52,0.45,0.31,0.47,0.46,0.53,0.4,0.37,0.34
vapor.csv,0.51,0.51,0.43,0.43,0.0,0.46,0.41,0.44,0.46,0.0,0.0
