,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.41,0.0,0.52,0.0,0.57,0.69,0.31,0.0,0.52,0.27,0.75,0.0,0.0
badtrinity-zero.csv,0.12,0.0,0.66,0.0,0.61,0.17,0.11,0.0,0.53,0.73,0.73,0.0,0.63
bibletime.csv,0.64,0.54,0.57,0.63,0.62,0.68,0.66,0.55,0.59,0.72,0.79,0.71,0.47
critterding.csv,0.62,0.56,0.24,0.51,0.2,0.32,0.17,0.56,0.13,0.0,0.46,0.71,0.53
elateportal.csv,0.57,0.53,0.53,0.68,0.77,0.78,0.5,0.68,0.2,0.62,0.96,0.55,0.57
fmri-dmt.csv,0.55,0.47,0.44,0.27,0.29,0.34,0.62,0.41,0.96,0.38,0.0,0.54,0.35
ftm.csv,0.64,0.48,0.37,0.49,0.74,0.58,0.56,0.26,0.38,0.55,0.06,0.58,0.68
gusanos.csv,0.43,0.4,0.37,0.45,0.66,0.2,0.0,0.77,0.5,0.6,0.48,0.0,0.16
monetdb.csv,0.48,0.58,0.37,0.42,0.69,0.6,0.21,0.58,0.2,0.34,0.6,0.3,0.53
quarkplayer.csv,0.38,0.18,0.43,0.33,0.02,0.1,0.79,0.09,0.51,0.31,0.0,0.24,0.06
reactos-mirror.csv,0.64,0.68,0.58,0.7,0.72,0.67,0.65,0.61,0.59,0.64,0.79,0.0,0.16
sandiaportals.csv,0.54,0.55,0.54,0.69,0.69,0.45,0.59,0.57,0.36,0.78,0.0,0.76,0.64
xbplayer.csv,0.37,0.47,0.64,0.69,0.65,0.76,0.54,0.52,0.64,0.56,0.34,0.5,0.42
