,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.88,1.0,0.65,1.0,0.54,0.4,0.78,1.0,0.81,0.93,0.32,1.0,1.0
badtrinity-zero.csv,0.9,1.0,0.49,1.0,0.75,0.96,0.91,1.0,0.56,0.48,0.42,1.0,0.71
bibletime.csv,0.61,0.63,0.61,0.5,0.6,0.56,0.59,0.6,0.7,0.37,0.5,0.47,0.65
critterding.csv,0.67,0.54,0.94,0.81,0.96,0.92,0.96,0.68,0.97,1.0,0.86,0.54,0.81
elateportal.csv,0.76,0.8,0.61,0.67,0.45,0.42,0.82,0.57,0.89,0.52,0.05,0.79,0.77
fmri-dmt.csv,0.75,0.83,0.88,0.94,0.85,0.89,0.71,0.91,0.18,0.93,1.01,0.79,0.9
ftm.csv,0.57,0.59,0.7,0.61,0.47,0.59,0.62,0.79,0.68,0.51,0.95,0.5,0.47
gusanos.csv,0.73,0.88,0.7,0.85,0.68,0.84,1.0,0.36,0.7,0.58,0.59,1.0,0.88
monetdb.csv,0.69,0.62,0.7,0.66,0.41,0.5,0.89,0.53,0.85,0.72,0.45,0.74,0.63
quarkplayer.csv,0.7,0.86,0.75,0.75,0.99,0.93,0.36,0.95,0.67,0.76,1.2,0.86,0.95
reactos-mirror.csv,0.47,0.55,0.61,0.53,0.51,0.59,0.7,0.68,0.7,0.68,0.5,1.0,0.89
sandiaportals.csv,0.62,0.75,0.6,0.59,0.54,0.67,0.72,0.76,0.82,0.4,1.0,0.33,0.67
xbplayer.csv,0.71,0.64,0.55,0.43,0.42,0.45,0.66,0.55,0.56,0.53,0.78,0.56,0.66
