,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.9,1.0,0.51,1.0,0.55,0.67,0.27,1.0,0.83,0.95,0.73,0.0,0.98
badtrinity-zero.csv,0.1,0.0,0.67,0.0,0.94,1.0,0.09,0.0,0.5,0.79,0.75,1.0,0.84
bibletime.csv,0.71,0.53,0.58,0.62,0.66,0.75,0.73,0.54,0.67,0.7,0.93,0.74,0.43
critterding.csv,0.73,0.53,0.91,0.67,0.89,0.92,1.0,0.6,1.0,1.0,0.8,0.79,0.9
elateportal.csv,0.76,0.82,0.51,0.9,0.83,0.83,0.64,0.76,0.17,0.62,0.95,0.87,0.87
fmri-dmt.csv,0.67,0.56,0.63,0.93,0.26,0.33,0.82,0.63,1.0,0.65,0.89,0.85,0.34
ftm.csv,0.67,0.44,0.32,0.45,0.79,0.58,0.55,0.22,0.33,0.5,0.05,0.55,0.7
gusanos.csv,0.4,0.97,0.32,0.88,0.89,0.17,0.0,0.78,0.5,0.61,0.43,0.0,0.13
monetdb.csv,0.47,0.59,0.33,0.38,0.68,0.58,0.18,0.55,0.17,0.29,0.55,0.26,0.52
quarkplayer.csv,0.34,0.15,0.41,0.29,0.02,0.08,0.82,0.07,0.5,0.27,0.0,0.21,0.05
reactos-mirror.csv,0.62,0.74,0.59,0.76,0.79,0.75,0.91,0.72,0.67,0.79,0.93,1.0,0.13
sandiaportals.csv,0.52,0.65,0.52,0.81,0.74,0.42,0.73,0.78,0.33,0.82,0.0,0.75,0.79
xbplayer.csv,0.33,0.44,0.66,0.69,0.62,0.83,0.55,0.48,0.67,0.52,0.3,0.45,0.38
