,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.6,0.85,0.73,0.0,0.59,0.54,0.46,0.54,0.52,0.84
flylegacy.csv,0.84,0.6,0.05,0.62,0.63,0.16,0.82,0.62,0.6,0.87
jguard.csv,0.6,0.7,0.73,0.68,0.78,0.0,0.67,0.69,0.42,0.47
m-a-d-n-e-s-s.csv,0.21,0.55,0.23,0.47,0.22,0.71,0.28,0.23,0.0,0.21
mob-sen-plat.csv,0.7,0.05,0.55,0.36,0.41,0.54,0.3,0.46,0.42,0.32
raygina.csv,0.0,0.1,0.41,0.35,0.32,0.3,0.41,0.38,0.27,0.11
st-filteredstatistics.csv,0.58,0.1,0.73,0.55,0.56,0.41,0.46,0.0,0.35,0.45
upp-mirror.csv,0.47,0.0,0.41,0.31,0.02,0.18,0.51,0.15,0.37,0.58
wishmaster.csv,0.47,0.45,0.45,0.18,0.51,0.38,0.0,0.69,0.43,0.21
yarp.csv,0.23,0.1,0.41,0.31,0.1,0.46,0.31,0.38,0.28,0.0
