,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.35,0.75,0.66,0.96,0.53,0.31,0.17,0.56,0.28,0.48
flylegacy.csv,0.35,0.47,0.99,0.32,0.77,0.27,0.29,0.69,0.46,0.53
jguard.csv,0.41,0.71,0.78,0.25,0.66,0.98,0.28,0.81,0.51,0.35
m-a-d-n-e-s-s.csv,0.34,0.69,0.74,0.21,0.48,0.41,0.32,0.55,0.96,0.35
mob-sen-plat.csv,0.33,0.97,0.44,0.15,0.38,0.46,0.12,0.57,0.41,0.46
raygina.csv,0.98,0.41,0.57,0.2,0.4,0.23,0.27,0.6,0.54,0.24
st-filteredstatistics.csv,0.57,0.54,0.77,0.26,0.69,0.44,0.32,0.99,0.49,0.5
upp-mirror.csv,0.57,0.26,0.67,0.25,0.98,0.37,0.33,0.59,0.55,0.46
wishmaster.csv,0.2,0.62,0.75,0.22,0.66,0.21,0.96,0.57,0.18,0.43
yarp.csv,0.48,0.33,0.64,0.24,0.3,0.38,0.06,0.46,0.47,1.0
