,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.74,0.45,0.56,0.66,0.27,0.6,0.3,0.64,0.84,0.49
ivatamasks.csv,1.0,0.73,0.62,0.73,0.95,0.4,0.63,0.75,0.81,0.9
orc.csv,0.05,0.41,0.75,0.39,0.12,0.5,0.2,0.32,0.22,0.51
plato.csv,1.0,1.0,0.75,0.77,0.89,0.79,0.9,0.71,0.98,0.92
rodin-b-sharp.csv,0.53,0.59,0.5,0.33,0.17,0.62,0.81,0.46,0.36,0.35
umber.csv,0.89,0.91,0.88,0.83,0.57,0.98,0.96,0.68,0.33,0.85
unicase.csv,0.95,0.91,1.0,0.96,0.35,0.95,0.96,0.86,0.78,0.78
uwom.csv,0.16,0.46,0.62,0.17,0.41,0.5,0.23,0.29,0.29,0.84
vienna-add-in.csv,0.79,0.6,0.56,0.64,0.73,0.48,0.37,0.68,0.37,0.33
wpdev.csv,1.0,0.99,1.0,1.0,0.94,1.0,1.0,0.82,1.0,0.98
