,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.51,0.0,0.28,0.6,0.22,0.5,0.25,0.21,0.77,0.23
ivatamasks.csv,0.93,0.0,0.91,0.21,1.0,0.5,0.87,0.53,0.88,0.83
orc.csv,0.07,0.0,0.21,0.26,0.17,0.5,0.26,0.21,0.13,0.25
plato.csv,0.93,0.5,0.94,0.6,0.85,0.25,0.89,0.52,0.98,0.83
rodin-b-sharp.csv,0.02,1.0,0.1,0.38,0.1,0.5,0.13,0.57,0.13,0.69
umber.csv,0.02,1.0,0.91,0.51,0.76,1.0,0.73,0.87,0.17,0.98
unicase.csv,0.25,1.0,0.81,0.98,0.56,0.75,0.79,0.78,0.4,0.87
uwom.csv,0.55,0.0,0.31,0.11,0.56,0.25,0.52,0.22,0.21,0.24
vienna-add-in.csv,0.51,1.0,0.75,0.68,0.37,0.5,0.56,0.69,0.6,0.36
wpdev.csv,0.98,0.0,0.98,1.0,0.98,1.0,1.0,0.93,0.99,0.71
