,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.71,0.64,0.31,0.36,0.75,0.36,0.44,0.59,0.68,0.46,1.0,0.19,0.38,0.62,0.25,0.17,0.41,0.28
beast-mcmc.csv,0.92,0.48,0.37,0.54,0.22,0.31,0.35,0.32,0.52,0.22,0.92,0.19,0.36,0.38,0.07,0.31,0.26,0.11
cuberok.csv,0.65,0.52,0.78,0.46,0.64,0.86,0.7,0.91,0.8,0.27,0.36,0.5,0.65,0.81,0.61,0.34,0.81,0.53
exist.csv,0.59,0.55,0.39,0.49,0.55,0.47,0.49,0.41,0.48,0.73,0.24,0.38,0.98,0.51,0.11,0.55,0.35,0.35
ingex.csv,0.3,0.15,0.08,0.31,0.06,0.25,0.3,0.09,0.12,0.11,0.04,0.06,0.13,0.11,0.21,1.0,0.11,0.17
javaprofiler.csv,0.48,0.67,0.45,0.54,0.47,0.58,0.52,0.86,0.44,0.44,0.6,0.81,0.52,0.6,0.21,0.31,0.33,0.97
jbasic.csv,0.39,0.3,0.27,0.23,0.23,0.31,0.33,0.23,0.28,0.95,0.24,0.25,0.3,0.43,0.07,0.41,0.35,0.11
jgnash.csv,0.14,0.24,0.16,0.13,0.11,0.14,0.16,0.09,0.88,0.14,0.24,0.12,0.15,0.13,0.07,0.03,0.06,0.12
jrefactory.csv,0.27,0.45,0.94,0.41,0.38,0.56,0.27,0.55,0.48,0.46,0.56,0.69,0.29,0.55,0.61,0.45,0.37,0.6
jsecurity.csv,0.2,0.36,0.14,0.87,0.27,0.36,0.33,0.73,0.36,0.33,0.16,0.38,0.21,0.23,0.68,0.66,0.2,0.33
libopenmetaverse.csv,0.64,0.36,0.78,0.62,0.75,1.0,0.72,0.86,0.72,0.86,0.44,0.75,0.66,0.77,0.39,0.83,0.52,0.69
mobicents.csv,0.61,0.33,0.55,0.33,0.58,0.47,0.98,0.45,0.36,0.76,0.4,0.44,0.62,0.62,0.25,0.59,0.48,0.25
mp-rechnungs-und-kundenverwaltung.csv,0.5,0.24,0.25,0.31,0.23,0.44,0.55,0.23,0.32,0.19,0.28,0.25,0.28,0.91,0.39,0.48,0.13,0.48
openefm.csv,0.3,0.91,0.45,0.23,0.19,0.44,0.3,0.32,0.2,0.54,0.36,0.19,0.54,0.51,0.18,0.28,0.28,0.36
power-architect.csv,0.68,0.64,0.84,0.9,0.86,0.92,0.72,0.55,0.6,0.46,0.88,0.94,0.72,0.81,0.86,0.52,1.0,0.43
sidekar.csv,0.64,0.33,0.41,0.72,0.98,0.75,0.68,0.5,0.76,0.3,0.64,0.38,0.67,0.83,0.32,0.62,0.63,0.4
wheat.csv,0.42,0.42,0.12,0.23,0.08,0.44,0.39,0.64,0.2,0.19,0.24,0.44,0.5,0.19,1.0,0.48,0.35,0.49
yarp0.csv,0.88,0.73,0.88,0.72,0.89,0.44,0.88,0.36,0.8,0.97,0.84,1.0,0.72,0.87,0.39,0.69,0.85,0.85
