,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.38,0.18,0.33,0.54,0.42,0.2,0.46,0.59,0.52,0.47
empserver.csv,0.56,0.34,0.22,0.43,0.68,0.18,0.36,0.74,0.49,0.45
enlightenment.csv,0.79,0.37,0.23,0.69,0.69,0.15,0.36,0.78,0.62,0.84
ffigo.csv,0.57,0.29,0.15,0.0,0.05,0.0,0.32,0.79,0.38,0.0
ildjit.csv,0.43,0.66,0.21,0.23,0.47,0.0,0.28,0.33,0.59,0.3
jfreereport.csv,0.21,0.08,0.32,0.35,0.23,0.12,0.31,0.48,0.19,0.23
mplayer-ce.csv,0.6,0.24,0.24,0.58,0.6,0.17,0.38,0.67,0.57,0.78
psycle.csv,0.71,0.21,0.29,0.71,0.61,0.11,0.41,0.63,0.61,0.62
wikipediardware.csv,0.73,0.25,0.23,0.69,0.67,0.16,0.38,0.63,0.56,0.81
wxjs.csv,0.05,0.0,0.06,0.0,0.0,0.45,0.0,0.0,0.0,0.05
