,recall,precision,pf,pci_20,ifa,wins
anaxagora.csv,0.74,0.27,0.515,0.43,4.0,13
blogentis.csv,0.5449999999999999,0.24,0.42000000000000004,0.565,7.5,5
free-evolution.csv,0.8300000000000001,0.225,0.565,0.37,8.0,4
gtad.csv,0.425,0.31,0.16,0.675,2.0,18
htmlunit.csv,0.52,0.255,0.32,0.495,5.0,12
ipfire-wall.csv,0.35,0.24,0.195,0.63,7.5,10
irplus.csv,0.505,0.315,0.275,0.43,5.0,14
jasperreports.csv,0.705,0.255,0.48,0.525,6.5,11
jaxlib.csv,0.435,0.19,0.375,0.725,6.5,6
jvcl.csv,0.44,0.225,0.235,0.63,7.5,8
kaffeine.csv,0.87,0.23500000000000001,0.625,0.385,10.5,2
m-m-m.csv,0.705,0.175,0.725,0.495,11.5,1
myfaces.csv,0.64,0.28,0.355,0.415,8.0,7
nh3d.csv,1.0,0.22,1.0,0.405,13.5,0
poormans.csv,0.31,0.33,0.125,0.67,2.5,17
sarasvati.csv,0.5,0.22999999999999998,0.35,0.58,6.0,9
smartgwt.csv,0.475,0.305,0.28,0.54,3.5,16
taokgame.csv,0.24,0.22,0.185,0.83,3.0,15
wgs-assembler.csv,0.8049999999999999,0.20500000000000002,0.655,0.52,9.5,3
