,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.41,0.44,0.39,0.82,0.31,0.07,0.66,0.05,0.47,0.36,0.66,0.55,0.7,0.91,0.76
aufs.csv,0.27,0.34,0.0,0.79,0.14,0.05,0.64,0.03,0.56,0.2,0.55,0.61,0.26,0.66,0.23
bulmages.csv,0.0,0.27,0.12,0.78,0.19,0.07,0.18,0.03,0.0,0.45,0.66,0.05,0.69,0.18,0.0
coot.csv,0.05,0.26,0.36,0.84,0.23,0.06,0.65,0.03,0.25,0.34,0.57,0.51,0.68,0.67,0.58
emono.csv,0.32,0.4,0.43,0.73,0.24,0.07,0.77,0.04,0.46,0.34,0.62,0.63,0.67,0.82,0.74
extprosys.csv,0.4,0.46,0.5,0.37,0.31,0.05,0.75,0.08,0.1,0.43,0.64,0.55,0.46,0.85,0.54
freelords.csv,0.4,0.35,0.51,0.66,0.37,0.09,0.74,0.06,0.51,0.38,0.73,0.49,0.67,0.66,0.76
jnode.csv,0.27,0.1,0.28,0.51,0.05,0.24,0.13,0.04,0.0,0.33,0.0,0.05,0.63,0.06,0.07
jruby.csv,0.33,0.1,0.46,0.83,0.32,0.06,0.48,0.1,0.48,0.34,0.69,0.59,0.1,0.76,0.16
jsecurity.csv,0.18,0.32,0.16,0.08,0.5,0.09,0.3,0.01,0.19,0.29,0.23,0.16,0.66,0.48,0.65
matrex.csv,0.32,0.1,0.17,0.63,0.08,0.07,0.07,0.22,0.28,0.0,0.83,0.29,0.09,0.24,0.23
officefloor.csv,0.43,0.29,0.23,0.13,0.27,0.12,0.16,0.12,0.48,0.16,0.54,0.43,0.41,0.52,0.56
projectfactory.csv,0.39,0.43,0.46,0.26,0.31,0.08,0.53,0.07,0.52,0.37,0.65,0.61,0.53,0.68,0.54
taverna.csv,0.31,0.16,0.63,0.2,0.17,0.0,0.07,0.02,0.05,0.34,0.08,0.53,0.59,0.05,0.31
vxl.csv,0.36,0.47,0.32,0.09,0.33,0.06,0.65,0.08,0.54,0.35,0.68,0.61,0.29,0.72,0.56
