,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.0,0.27,0.0,0.7,0.5,0.0,0.01,0.38,0.34,0.15
ffigo.csv,0.55,0.37,0.04,0.7,0.79,0.14,0.15,0.0,0.78,0.35
foursquared.csv,0.0,0.41,0.17,0.2,0.88,0.08,0.02,0.0,0.0,0.0
gebr.csv,0.9,0.97,0.67,1.0,1.0,0.94,0.89,1.0,0.86,1.0
ildjit.csv,0.72,0.42,0.24,0.4,0.12,0.44,0.28,0.0,0.34,0.1
jfreereport.csv,0.07,0.44,0.17,0.65,0.46,0.36,0.33,0.12,0.37,0.3
kml.csv,0.41,1.0,0.5,1.0,1.0,0.69,0.91,1.0,0.79,0.95
ng4j.csv,0.66,0.61,0.38,0.55,0.67,0.31,0.5,0.0,0.41,0.8
pcsx2.csv,0.07,0.66,0.61,1.0,0.21,0.58,0.77,0.0,0.16,0.6
wxjs.csv,0.0,0.06,0.0,0.0,0.0,0.06,0.03,1.0,0.0,0.0
