,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.0,0.96,0.0,0.46,0.43,0.0,0.5,0.92,0.58,0.94
ffigo.csv,0.76,0.74,0.8,0.4,0.35,0.88,0.97,0.94,0.42,0.89
foursquared.csv,0.0,0.93,0.88,0.88,0.48,0.67,0.67,0.88,0.0,0.0
gebr.csv,0.36,0.43,0.44,0.38,0.33,0.32,0.4,0.38,0.37,0.39
ildjit.csv,0.78,0.73,0.77,0.58,0.92,0.64,0.72,0.86,0.73,0.89
jfreereport.csv,0.85,0.74,0.82,0.44,0.85,0.79,0.66,0.88,0.55,0.9
kml.csv,0.44,0.42,0.48,0.38,0.33,0.44,0.43,0.37,0.38,0.42
ng4j.csv,0.55,0.61,0.72,0.5,0.42,0.75,0.57,0.93,0.56,0.73
pcsx2.csv,0.91,0.53,0.47,0.38,0.91,0.52,0.48,0.86,0.92,0.57
wxjs.csv,0.0,0.99,0.0,0.0,0.0,0.75,0.86,0.68,0.0,0.67
