,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.52,0.04,0.34,0.13,0.92,0.7,0.42,0.41,0.6,0.35
chaperon.csv,0.43,0.33,0.32,0.67,0.49,0.44,0.29,0.21,0.69,0.36
geotools.csv,0.71,0.55,0.5,0.07,0.95,0.59,0.51,0.73,0.45,0.34
l2j.csv,0.74,0.37,0.33,0.19,0.42,0.68,0.37,0.72,0.8,0.41
mule.csv,0.71,0.11,0.27,0.25,0.64,0.48,0.33,0.51,0.32,0.5
nunit.csv,0.51,0.57,0.21,0.12,0.44,0.38,0.41,0.48,0.49,0.56
primefaces.csv,0.73,0.51,0.55,0.17,0.74,0.51,0.45,0.85,0.62,0.34
springside.csv,0.71,0.72,0.35,0.15,0.72,0.69,0.49,0.68,0.57,0.51
swtfox.csv,0.44,0.44,0.67,0.09,0.19,0.18,0.2,0.7,0.49,0.22
twostep.csv,0.74,0.56,0.48,0.14,0.8,0.79,0.45,0.65,0.67,0.36
