,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.41,0.02,0.45,0.25,0.86,0.85,0.51,0.32,0.54,0.55
chaperon.csv,0.33,0.29,0.32,1.0,0.34,0.38,0.26,0.12,0.57,0.5
geotools.csv,0.74,0.55,0.75,0.25,0.96,0.92,0.64,0.82,0.32,0.7
l2j.csv,0.86,0.49,0.3,0.75,0.27,0.65,0.49,0.92,0.76,0.75
mule.csv,0.7,0.06,0.22,0.5,0.48,0.42,0.39,0.45,0.19,0.8
nunit.csv,0.39,0.63,0.22,0.25,0.29,0.35,0.47,0.4,0.37,0.75
primefaces.csv,0.91,0.84,1.0,0.75,0.61,0.92,0.74,0.85,0.52,0.7
springside.csv,0.72,0.84,0.4,0.75,0.57,0.73,0.8,0.78,0.42,0.62
swtfox.csv,0.36,0.71,0.7,0.5,0.11,0.12,0.19,0.9,0.35,0.28
twostep.csv,0.86,0.96,0.6,0.75,0.68,0.85,0.76,0.7,0.62,0.88
