,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.56,0.42,0.7,0.97,0.98
empyrean.csv,0.62,0.0,0.0,0.0,0.0
mplayer-ce.csv,0.43,0.45,0.55,0.44,0.56
nutz.csv,0.65,0.6,0.54,0.45,0.43
yafdotnet.csv,0.65,0.42,0.48,0.44,0.58
