,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.77,0.76,0.27,0.54,0.66
empyrean.csv,0.84,0.0,0.0,0.0,0.0
mplayer-ce.csv,0.67,0.56,0.37,0.44,0.58
nutz.csv,0.63,0.38,0.58,0.42,0.45
yafdotnet.csv,0.78,0.76,0.51,0.65,0.54
