,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,nativeclient.csv,libarchive.csv
acdk.csv,0.54,0.63,0.91,0.97,0.66,0.8,0.71,0.68,0.37,0.75,0.66,0.75,0.06,0.53,0.68,0.83,0.79,0.59,0.73,0.49
amygdala.csv,0.92,0.74,0.78,1.0,0.87,0.62,0.66,0.83,0.81,0.86,0.88,0.0,0.78,0.58,0.62,0.92,0.92,0.68,0.91,0.69
awemud.csv,0.04,0.68,0.72,0.65,0.49,0.91,0.5,0.83,0.71,1.0,0.7,0.77,0.42,0.52,0.77,0.67,0.78,0.83,0.76,0.57
bullet.csv,0.76,0.79,0.95,0.64,0.33,0.05,0.79,0.9,0.85,0.72,0.7,0.81,0.83,0.71,0.7,0.76,1.0,0.88,0.62,0.51
customwars.csv,0.82,0.77,1.02,0.74,0.78,0.85,0.79,0.44,1.0,0.83,0.06,0.81,0.55,0.73,0.68,0.75,0.47,0.49,0.78,0.65
dvd-create.csv,0.82,0.8,0.71,0.92,0.0,0.69,0.8,0.68,0.71,0.66,0.81,0.66,0.81,0.67,0.66,0.46,0.79,0.91,0.63,0.8
gbif-indexingtoolkit.csv,0.77,0.95,0.85,0.97,0.87,0.85,0.87,0.27,0.95,0.83,0.67,0.91,0.58,0.97,0.95,0.75,0.89,0.5,0.78,0.68
go.csv,0.64,0.01,0.79,0.39,0.58,0.51,0.61,0.83,0.82,1.0,0.87,0.61,0.57,0.58,0.81,0.89,0.83,0.65,0.59,0.58
growl-for-windows.csv,0.49,0.59,0.97,0.86,0.81,0.72,0.61,0.62,0.44,0.5,0.6,0.72,0.62,0.63,0.63,0.5,0.58,0.0,0.7,0.55
gss.csv,0.66,0.62,0.68,0.55,0.49,0.61,0.46,0.7,0.51,0.83,0.66,0.7,0.5,0.55,0.77,0.07,0.57,0.79,0.68,0.58
kwave.csv,0.73,0.96,0.06,1.0,1.0,0.75,0.74,0.79,0.8,0.93,0.71,0.73,0.64,0.54,0.83,0.55,0.93,0.85,0.6,0.97
libarchive.csv,0.56,0.55,0.79,0.71,0.58,0.61,0.48,0.75,0.44,0.62,0.93,0.47,0.55,0.75,0.78,0.81,0.77,0.67,0.63,0.01
linux-ntfs.csv,0.65,0.81,0.61,0.49,0.67,0.79,0.61,0.59,0.3,0.7,0.6,0.68,0.6,0.64,0.68,0.55,0.05,0.73,0.63,0.66
lsb.csv,0.87,0.83,0.79,0.27,0.61,0.86,0.78,0.74,0.53,1.0,0.92,0.74,0.71,0.77,0.87,0.67,0.74,0.95,0.65,0.56
mpgravity.csv,0.48,0.69,0.84,0.83,0.68,0.74,0.56,0.68,0.37,0.08,0.5,0.8,0.63,0.58,0.73,0.67,0.46,0.37,0.68,0.57
nativeclient.csv,0.67,0.48,0.65,0.87,0.77,0.66,0.51,0.6,0.35,0.24,0.69,0.68,0.43,0.66,0.56,0.56,0.68,0.83,0.02,0.55
qcad2.csv,0.56,0.97,0.61,0.89,0.79,0.75,0.04,0.79,0.87,0.89,0.63,0.74,0.73,0.59,0.7,0.48,0.54,0.76,0.81,0.77
qtwin.csv,0.9,0.99,1.0,1.0,0.99,1.0,0.85,0.91,0.33,1.0,0.78,1.0,0.99,0.89,1.0,0.97,0.81,1.0,0.97,1.0
roller.csv,0.78,0.57,0.82,0.8,0.54,0.63,0.63,0.73,1.07,0.75,0.75,0.62,0.55,0.01,0.64,0.74,0.87,0.84,0.63,0.59
xinity.csv,0.74,0.6,0.95,0.9,0.73,0.72,0.6,0.75,0.61,1.0,0.62,0.78,0.82,0.56,0.04,0.81,0.59,0.89,0.94,0.92
