,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,nativeclient.csv,libarchive.csv
acdk.csv,0.87,0.86,0.13,0.09,0.96,0.88,0.41,0.19,0.01,0.5,0.2,0.71,1.0,0.72,0.63,0.83,0.42,0.94,0.76,0.74
amygdala.csv,0.6,0.7,0.19,0.0,0.75,0.85,0.36,0.15,0.0,0.24,0.09,1.0,0.25,0.68,0.69,0.43,0.28,0.7,0.56,0.62
awemud.csv,0.99,0.68,0.22,0.3,0.89,0.61,0.51,0.13,0.0,0.0,0.17,0.52,0.51,0.76,0.57,0.62,0.44,0.58,0.88,0.71
bullet.csv,0.74,0.66,0.17,0.84,0.95,0.99,0.36,0.1,0.0,0.23,0.16,0.54,0.22,0.59,0.62,0.6,0.0,0.6,0.65,0.55
customwars.csv,0.93,0.64,0.06,0.32,0.77,0.67,0.41,0.37,0.0,1.0,1.0,0.57,0.38,0.71,0.67,0.59,0.71,0.9,0.56,0.53
dvd-create.csv,0.73,0.67,0.24,0.22,1.0,0.8,0.36,0.21,0.0,0.26,0.14,0.6,0.24,0.62,0.65,0.74,0.48,0.58,0.66,0.44
gbif-indexingtoolkit.csv,0.79,0.44,0.15,0.24,0.7,0.68,0.32,1.0,0.0,1.0,0.29,0.36,0.38,0.5,0.5,0.57,0.75,0.86,0.54,0.44
go.csv,0.77,1.0,0.18,0.57,0.85,0.85,0.42,0.15,0.0,0.0,0.15,0.61,0.37,0.68,0.61,0.56,0.47,0.7,0.67,0.51
growl-for-windows.csv,0.86,0.71,0.12,0.19,0.78,0.76,0.4,0.26,0.01,0.75,0.21,0.52,0.36,0.65,0.66,0.75,0.56,1.0,0.6,0.52
gss.csv,0.75,0.69,0.25,0.37,0.9,0.8,0.49,0.19,0.0,1.0,0.18,0.53,0.41,0.71,0.6,1.0,0.58,0.62,0.62,0.51
kwave.csv,0.72,0.64,1.0,0.24,0.8,0.79,0.33,0.16,0.0,0.14,0.15,0.57,0.33,0.88,0.52,0.73,0.33,0.59,0.66,0.41
libarchive.csv,0.84,0.73,0.18,0.4,0.86,0.81,0.49,0.18,0.0,0.36,0.12,0.68,0.38,0.61,0.61,0.58,0.43,0.69,0.76,0.98
linux-ntfs.csv,0.82,0.58,0.29,0.43,0.82,0.71,0.44,0.24,0.01,0.23,0.2,0.55,0.37,0.67,0.63,0.82,0.96,0.73,0.67,0.54
lsb.csv,0.74,0.65,0.23,0.97,0.85,0.77,0.38,0.2,0.0,0.0,0.16,0.55,0.35,0.63,0.6,0.66,0.49,0.66,0.64,0.53
mpgravity.csv,0.88,0.72,0.16,0.19,0.82,0.75,0.43,0.19,0.01,1.0,0.36,0.46,0.35,0.7,0.61,0.67,0.64,0.89,0.62,0.52
nativeclient.csv,0.76,0.85,0.28,0.2,0.94,0.84,0.45,0.23,0.01,0.59,0.17,0.55,0.46,0.65,0.72,0.75,0.5,0.58,0.99,0.55
qcad2.csv,0.8,0.6,0.27,0.24,0.8,0.89,0.98,0.17,0.0,0.13,0.2,0.5,0.31,0.86,0.62,0.74,0.64,0.68,0.58,0.44
qtwin.csv,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.25,0.33,0.0,0.24,0.0,0.2,1.0,0.0,1.0,1.0,0.0,1.0,0.0
roller.csv,0.68,0.72,0.33,0.2,0.87,0.9,0.38,0.18,0.0,0.22,0.14,0.58,0.38,1.0,0.67,0.58,0.36,0.56,0.64,0.51
xinity.csv,0.74,0.71,0.1,0.14,0.8,0.9,0.4,0.16,0.0,0.0,0.19,0.64,0.22,0.73,0.98,0.56,0.56,0.52,0.56,0.34
