,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.82,0.0,0.0,0.1
repositorium.csv,0.14,0.81,0.14,0.45
simplewebservices.csv,0.48,0.0,0.75,0.67
xbg.csv,0.0,0.11,0.84,0.41
